"Status","Year","Age","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Economics","15","15","25140","24650"
"In post","2022","16-19","Analysis","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Communications","10","10","25760","25110"
"In post","2022","16-19","Communications","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Communications","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","10","10","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","10","10","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","20","20","21250","21250"
"In post","2022","16-19","Debt","Other","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Tax","20","20","21250","21250"
"In post","2022","16-19","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","25","25","21510","20210"
"In post","2022","16-19","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
