"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Economics","Heterosexual / straight","125","125","42620","37970"
"In post","2022","Asian","Analysis","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Economics","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Economics","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Geography","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Medicine","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Delivery","Heterosexual / straight","40","35","38460","36780"
"In post","2022","Asian","Analysis","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Research","Heterosexual / straight","35","35","42070","37930"
"In post","2022","Asian","Analysis","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Other","Heterosexual / straight","40","40","50110","46160"
"In post","2022","Asian","Analysis","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Policy","Heterosexual / straight","40","40","43240","40260"
"In post","2022","Asian","Analysis","Policy","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Psychology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Social Research","Heterosexual / straight","45","40","41820","38340"
"In post","2022","Asian","Analysis","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Statistics","Heterosexual / straight","145","140","43280","40270"
"In post","2022","Asian","Analysis","Statistics","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Statistics","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Statistics","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Commercial","Heterosexual / straight","155","155","39380","37220"
"In post","2022","Asian","Commercial","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Commercial","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","Commercial","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
