"Status","Year","Age","Disability","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","AA","Female","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","AA","Male","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","AO","Female","10","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","AA","Female","60","55","19830","20890"
"In post","2022","16-19","Declared non-disabled","AA","Male","50","45","18980","19100"
"In post","2022","16-19","Declared non-disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","AO","Female","205","200","22090","21260"
"In post","2022","16-19","Declared non-disabled","AO","Male","165","160","21970","21260"
"In post","2022","16-19","Declared non-disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","EO","Female","70","70","25200","26250"
"In post","2022","16-19","Declared non-disabled","EO","Male","85","85","23290","24300"
"In post","2022","16-19","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HEO","Male","[c]","[c]","[c]","[c]"
