"Status","Year","Parent_department","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","London","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","London","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Yorkshire and The Humber","Female","15","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","London","Female","45","40","43800","39750"
"In post","2022","Attorney General's Departments","Communications","London","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
