"Status","Year","Age","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","Female","25","25","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Male","15","15","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Female","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Male","10","10","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Female","15","15","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2022","16-19","Department for Education","Female","10","10","[c]","[c]"
"In post","2022","16-19","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Female","15","15","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Male","30","25","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","Male","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport","Female","55","45","19970","18310"
"In post","2022","16-19","Department for Transport","Male","45","40","19970","18310"
"In post","2022","16-19","Department for Work and Pensions","Female","80","80","23320","21260"
"In post","2022","16-19","Department for Work and Pensions","Male","65","65","22700","21260"
"In post","2022","16-19","Department of Health and Social Care","Female","15","10","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","Male","5","5","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","Female","10","10","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","Male","20","20","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Female","5","5","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Male","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","Female","95","95","22010","21250"
"In post","2022","16-19","HM Revenue and Customs","Male","115","110","22300","21250"
"In post","2022","16-19","HM Treasury","Female","5","5","[c]","[c]"
"In post","2022","16-19","HM Treasury","Male","5","5","[c]","[c]"
"In post","2022","16-19","Home Office","Female","30","30","23640","21680"
"In post","2022","16-19","Home Office","Male","25","25","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","Female","45","45","19360","19460"
"In post","2022","16-19","Ministry of Defence","Male","165","165","18640","17930"
"In post","2022","16-19","Ministry of Justice","Female","125","125","22990","23140"
"In post","2022","16-19","Ministry of Justice","Male","75","70","22970","23140"
"In post","2022","16-19","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Female","5","5","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government","Female","45","40","22180","21050"
"In post","2022","16-19","Scottish Government","Male","45","40","22010","21050"
"In post","2022","16-19","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Female","10","10","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Male","10","10","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","Female","1045","1035","29870","26950"
"In post","2022","20-29","Attorney General's Departments","Male","430","430","30880","26950"
"In post","2022","20-29","Cabinet Office","Female","2045","2035","33810","29250"
"In post","2022","20-29","Cabinet Office","Male","1525","1525","34790","32000"
"In post","2022","20-29","Chancellor's other departments","Female","25","25","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","Male","50","50","37660","34980"
"In post","2022","20-29","Charity Commission","Female","50","45","25840","24440"
"In post","2022","20-29","Charity Commission","Male","25","20","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Female","85","85","38610","33610"
"In post","2022","20-29","Competition and Markets Authority","Male","65","65","39760","33610"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","Female","1655","1640","35680","33570"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","Male","1525","1525","37090","33880"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Female","430","425","38160","34020"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Male","340","340","39470","34020"
"In post","2022","20-29","Department for Education","Female","1125","1115","35540","32940"
"In post","2022","20-29","Department for Education","Male","670","665","34870","32940"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","Female","1465","1445","30530","29180"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","Male","1065","1055","30460","29180"
"In post","2022","20-29","Department for International Trade","Female","530","530","38000","34920"
"In post","2022","20-29","Department for International Trade","Male","495","495","38250","38160"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","Female","540","535","36880","33210"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","Male","500","500","37090","33210"
"In post","2022","20-29","Department for Transport","Female","1130","1095","30050","26470"
"In post","2022","20-29","Department for Transport","Male","1130","1120","31380","29970"
"In post","2022","20-29","Department for Work and Pensions","Female","6315","6140","26990","27570"
"In post","2022","20-29","Department for Work and Pensions","Male","4725","4700","26960","27570"
"In post","2022","20-29","Department of Health and Social Care","Female","1900","1840","33770","32330"
"In post","2022","20-29","Department of Health and Social Care","Male","970","950","34330","32640"
"In post","2022","20-29","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","Female","95","95","32930","30810"
"In post","2022","20-29","Food Standards Agency","Male","40","40","31100","30350"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Female","705","705","35000","33930"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Male","555","555","33810","33290"
"In post","2022","20-29","HM Land Registry","Female","650","635","25870","25660"
"In post","2022","20-29","HM Land Registry","Male","475","470","26470","27130"
"In post","2022","20-29","HM Revenue and Customs","Female","5945","5785","28590","26590"
"In post","2022","20-29","HM Revenue and Customs","Male","6210","6140","29010","26820"
"In post","2022","20-29","HM Treasury","Female","515","505","37910","32320"
"In post","2022","20-29","HM Treasury","Male","545","540","39100","33730"
"In post","2022","20-29","Home Office","Female","3030","2970","29590","25170"
"In post","2022","20-29","Home Office","Male","2515","2490","29150","24890"
"In post","2022","20-29","Ministry of Defence","Female","3030","2995","29140","27200"
"In post","2022","20-29","Ministry of Defence","Male","4660","4650","29020","27680"
"In post","2022","20-29","Ministry of Justice","Female","10035","9845","26320","24730"
"In post","2022","20-29","Ministry of Justice","Male","5705","5675","26810","25610"
"In post","2022","20-29","National Crime Agency","Female","545","545","33330","32770"
"In post","2022","20-29","National Crime Agency","Male","325","325","34080","34060"
"In post","2022","20-29","Northern Ireland Office","Female","20","20","[c]","[c]"
"In post","2022","20-29","Northern Ireland Office","Male","20","20","[c]","[c]"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","Female","85","85","29100","25880"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","Male","45","45","28040","25880"
"In post","2022","20-29","Office of Gas and Electricity Markets","Female","185","185","30690","30000"
"In post","2022","20-29","Office of Gas and Electricity Markets","Male","190","190","30490","29000"
"In post","2022","20-29","Office of Qualifications and Examinations Regulation","Female","20","20","[c]","[c]"
"In post","2022","20-29","Office of Qualifications and Examinations Regulation","Male","15","15","[c]","[c]"
"In post","2022","20-29","Office of Rail and Road","Female","15","15","[c]","[c]"
"In post","2022","20-29","Office of Rail and Road","Male","20","20","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Scotland","Female","25","25","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Scotland","Male","10","10","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Wales","Female","10","10","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Wales","Male","5","5","[c]","[c]"
"In post","2022","20-29","Scottish Government","Female","2620","2565","28540","27230"
"In post","2022","20-29","Scottish Government","Male","1740","1725","28720","27230"
"In post","2022","20-29","The National Archives","Female","55","55","26870","26180"
"In post","2022","20-29","The National Archives","Male","40","35","26160","22990"
"In post","2022","20-29","UK Export Finance","Female","60","60","35550","33000"
"In post","2022","20-29","UK Export Finance","Male","50","50","38080","34190"
"In post","2022","20-29","UK Statistics Authority","Female","730","715","31150","30710"
"In post","2022","20-29","UK Statistics Authority","Male","550","540","30560","30710"
