"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","AA/AO","30","30","21990","21510"
"In post","2022","Declared disabled","Analysis","EO","75","75","27260","26820"
"In post","2022","Declared disabled","Analysis","G6/G7","185","175","59730","57990"
"In post","2022","Declared disabled","Analysis","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SEO/HEO","410","390","36590","36840"
"In post","2022","Declared disabled","Commercial","AA/AO","30","30","23490","21840"
"In post","2022","Declared disabled","Commercial","EO","75","70","26850","26670"
"In post","2022","Declared disabled","Commercial","G6/G7","85","85","57610","54700"
"In post","2022","Declared disabled","Commercial","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO/HEO","245","240","37150","37420"
"In post","2022","Declared disabled","Commercial","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","65","55","21540","21250"
"In post","2022","Declared disabled","Communications","EO","200","190","27220","26820"
"In post","2022","Declared disabled","Communications","G6/G7","80","80","57290","55340"
"In post","2022","Declared disabled","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO/HEO","260","250","36250","33370"
"In post","2022","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","420","360","22350","21260"
"In post","2022","Declared disabled","Counter Fraud","EO","890","795","28180","27570"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","115","110","59030","55210"
"In post","2022","Declared disabled","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","550","515","36110","34290"
"In post","2022","Declared disabled","Debt","AA/AO","635","535","21640","21260"
"In post","2022","Declared disabled","Debt","EO","145","125","27960","27570"
"In post","2022","Declared disabled","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SEO/HEO","35","30","35480","33370"
"In post","2022","Declared disabled","Digital, Data & Technology","AA/AO","105","105","21720","21380"
"In post","2022","Declared disabled","Digital, Data & Technology","EO","455","430","27530","27230"
"In post","2022","Declared disabled","Digital, Data & Technology","G6/G7","445","430","57310","55210"
"In post","2022","Declared disabled","Digital, Data & Technology","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","SEO/HEO","965","925","36870","36050"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA/AO","180","145","21770","21260"
"In post","2022","Declared disabled","Finance","EO","215","205","27100","26900"
"In post","2022","Declared disabled","Finance","G6/G7","215","210","57800","56520"
"In post","2022","Declared disabled","Finance","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Finance","SEO/HEO","495","465","36480","35470"
"In post","2022","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","AA/AO","95","85","21280","21300"
"In post","2022","Declared disabled","Grants Management","EO","45","40","25600","25450"
"In post","2022","Declared disabled","Grants Management","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","SEO/HEO","35","35","32270","31290"
"In post","2022","Declared disabled","Human Resources","AA/AO","200","180","21640","21270"
"In post","2022","Declared disabled","Human Resources","EO","360","335","27630","27570"
"In post","2022","Declared disabled","Human Resources","G6/G7","310","305","57410","55210"
"In post","2022","Declared disabled","Human Resources","SCS level","45","40","85350","78300"
"In post","2022","Declared disabled","Human Resources","SEO/HEO","675","645","36670","36050"
"In post","2022","Declared disabled","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO/HEO","60","55","39470","39190"
"In post","2022","Declared disabled","Legal","AA/AO","200","180","22780","22200"
"In post","2022","Declared disabled","Legal","EO","240","220","28300","28430"
"In post","2022","Declared disabled","Legal","G6/G7","525","480","59500","56560"
"In post","2022","Declared disabled","Legal","SCS level","35","35","82940","80410"
"In post","2022","Declared disabled","Legal","SEO/HEO","220","210","39120","38000"
"In post","2022","Declared disabled","No function","AA/AO","11285","9820","22460","21260"
"In post","2022","Declared disabled","No function","EO","10935","9825","28180","27570"
"In post","2022","Declared disabled","No function","G6/G7","1880","1815","57960","55210"
"In post","2022","Declared disabled","No function","SCS level","205","200","89560","78420"
"In post","2022","Declared disabled","No function","SEO/HEO","5365","5105","36900","35630"
"In post","2022","Declared disabled","No function","Unknown","3290","3065","30760","28290"
"In post","2022","Declared disabled","Project Delivery","AA/AO","115","100","22200","21300"
"In post","2022","Declared disabled","Project Delivery","EO","405","375","25310","26120"
"In post","2022","Declared disabled","Project Delivery","G6/G7","580","565","58080","55210"
"In post","2022","Declared disabled","Project Delivery","SCS level","30","30","88260","79060"
"In post","2022","Declared disabled","Project Delivery","SEO/HEO","1320","1260","36500","36460"
"In post","2022","Declared disabled","Project Delivery","Unknown","165","160","39430","36550"
"In post","2022","Declared disabled","Property","AA/AO","145","135","21830","22010"
"In post","2022","Declared disabled","Property","EO","160","155","26630","26670"
"In post","2022","Declared disabled","Property","G6/G7","140","140","57730","56170"
"In post","2022","Declared disabled","Property","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Property","SEO/HEO","310","295","36880","34640"
"In post","2022","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","AA/AO","355","340","26570","21850"
"In post","2022","Declared disabled","Security","EO","165","160","30590","27570"
"In post","2022","Declared disabled","Security","G6/G7","50","50","58820","58030"
"In post","2022","Declared disabled","Security","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Security","SEO/HEO","265","260","37990","36460"
"In post","2022","Declared disabled","Security","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Unknown","AA/AO","1860","1700","22060","21680"
"In post","2022","Declared disabled","Unknown","EO","1895","1775","27610","27230"
"In post","2022","Declared disabled","Unknown","G6/G7","745","715","61460","59730"
"In post","2022","Declared disabled","Unknown","SCS level","75","75","89360","83230"
"In post","2022","Declared disabled","Unknown","SEO/HEO","2010","1930","37610","36650"
"In post","2022","Declared disabled","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","AA/AO","180","175","21760","21380"
"In post","2022","Declared non-disabled","Analysis","EO","575","550","26910","26520"
"In post","2022","Declared non-disabled","Analysis","G6/G7","2000","1905","59110","57150"
"In post","2022","Declared non-disabled","Analysis","SCS level","145","140","88530","79600"
"In post","2022","Declared non-disabled","Analysis","SEO/HEO","2780","2695","36440","36650"
"In post","2022","Declared non-disabled","Commercial","AA/AO","160","145","21990","21830"
"In post","2022","Declared non-disabled","Commercial","EO","480","460","26590","26490"
"In post","2022","Declared non-disabled","Commercial","G6/G7","825","800","58830","56490"
"In post","2022","Declared non-disabled","Commercial","SCS level","155","155","111550","100150"
"In post","2022","Declared non-disabled","Commercial","SEO/HEO","1760","1710","37360","37300"
"In post","2022","Declared non-disabled","Commercial","Unknown","120","120","40230","37450"
"In post","2022","Declared non-disabled","Communications","AA/AO","270","245","21850","21250"
"In post","2022","Declared non-disabled","Communications","EO","1745","1685","26950","26820"
"In post","2022","Declared non-disabled","Communications","G6/G7","735","710","58700","56500"
"In post","2022","Declared non-disabled","Communications","SCS level","90","90","92320","84240"
"In post","2022","Declared non-disabled","Communications","SEO/HEO","2155","2090","36720","34710"
"In post","2022","Declared non-disabled","Communications","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","AA/AO","1895","1640","22340","21260"
"In post","2022","Declared non-disabled","Counter Fraud","EO","4785","4380","28160","27570"
"In post","2022","Declared non-disabled","Counter Fraud","G6/G7","890","860","59710","56170"
"In post","2022","Declared non-disabled","Counter Fraud","SCS level","35","35","80860","79530"
"In post","2022","Declared non-disabled","Counter Fraud","SEO/HEO","3755","3580","36340","34290"
"In post","2022","Declared non-disabled","Debt","AA/AO","3135","2735","21630","21260"
"In post","2022","Declared non-disabled","Debt","EO","805","725","27730","27570"
"In post","2022","Declared non-disabled","Debt","G6/G7","35","35","58730","55210"
"In post","2022","Declared non-disabled","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","SEO/HEO","280","255","34960","33370"
"In post","2022","Declared non-disabled","Digital, Data & Technology","AA/AO","600","575","21820","21380"
"In post","2022","Declared non-disabled","Digital, Data & Technology","EO","2385","2270","27540","27270"
"In post","2022","Declared non-disabled","Digital, Data & Technology","G6/G7","4165","4080","57670","55210"
"In post","2022","Declared non-disabled","Digital, Data & Technology","SCS level","235","230","91090","85000"
"In post","2022","Declared non-disabled","Digital, Data & Technology","SEO/HEO","7235","7015","37380","36900"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Unknown","45","45","34090","31360"
"In post","2022","Declared non-disabled","Finance","AA/AO","1040","885","21740","21260"
"In post","2022","Declared non-disabled","Finance","EO","1400","1320","26900","26820"
"In post","2022","Declared non-disabled","Finance","G6/G7","2005","1950","58430","57130"
"In post","2022","Declared non-disabled","Finance","SCS level","215","210","86810","79890"
"In post","2022","Declared non-disabled","Finance","SEO/HEO","3745","3600","37320","36560"
"In post","2022","Declared non-disabled","Finance","Unknown","45","45","49710","41340"
"In post","2022","Declared non-disabled","Grants Management","AA/AO","1170","1070","21280","21300"
"In post","2022","Declared non-disabled","Grants Management","EO","540","495","25420","25190"
"In post","2022","Declared non-disabled","Grants Management","G6/G7","60","55","51790","49370"
"In post","2022","Declared non-disabled","Grants Management","SCS level","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","SEO/HEO","315","290","32520","31040"
"In post","2022","Declared non-disabled","Human Resources","AA/AO","1030","935","21700","21260"
"In post","2022","Declared non-disabled","Human Resources","EO","1675","1565","27170","27230"
"In post","2022","Declared non-disabled","Human Resources","G6/G7","1685","1630","57690","55720"
"In post","2022","Declared non-disabled","Human Resources","SCS level","185","180","87230","79580"
"In post","2022","Declared non-disabled","Human Resources","SEO/HEO","3255","3100","36170","35310"
"In post","2022","Declared non-disabled","Human Resources","Unknown","30","30","43440","43470"
"In post","2022","Declared non-disabled","Internal Audit","AA/AO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","EO","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","G6/G7","155","150","58030","56400"
