"Status","Year","Parent_department","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","London","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","London","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","London","Female","45","40","43800","39750"
"In post","2022","Attorney General's Departments","Communications","London","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","London","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","London","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","London","Female","95","90","42210","33380"
"In post","2022","Attorney General's Departments","Counter Fraud","London","Male","150","145","49470","42310"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","Female","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","Male","55","55","46520","40540"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Outside London","Female","45","45","36640","31560"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Outside London","Male","45","45","38370","33310"
"In post","2022","Attorney General's Departments","Finance","London","Female","40","35","37960","31570"
"In post","2022","Attorney General's Departments","Finance","London","Male","35","35","39610","31560"
"In post","2022","Attorney General's Departments","Finance","Outside London","Female","85","75","26320","23770"
"In post","2022","Attorney General's Departments","Finance","Outside London","Male","55","55","30900","25920"
"In post","2022","Attorney General's Departments","Human Resources","London","Female","95","90","40120","33900"
"In post","2022","Attorney General's Departments","Human Resources","London","Male","35","35","38030","31560"
"In post","2022","Attorney General's Departments","Human Resources","Outside London","Female","90","85","34790","30370"
"In post","2022","Attorney General's Departments","Human Resources","Outside London","Male","30","30","33610","30370"
"In post","2022","Attorney General's Departments","Intelligence Analysis","London","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","London","Female","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","London","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","London","Female","1820","1650","59200","58970"
"In post","2022","Attorney General's Departments","Legal","London","Male","960","935","61560","62730"
"In post","2022","Attorney General's Departments","Legal","Outside London","Female","1640","1475","52490","53050"
"In post","2022","Attorney General's Departments","Legal","Outside London","Male","1020","990","55100","55610"
"In post","2022","Attorney General's Departments","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Operational Delivery","London","Female","510","465","27960","26970"
"In post","2022","Attorney General's Departments","Operational Delivery","London","Male","240","235","29170","27050"
"In post","2022","Attorney General's Departments","Operational Delivery","Outside London","Female","1635","1480","26570","25480"
"In post","2022","Attorney General's Departments","Operational Delivery","Outside London","Male","510","500","26760","25480"
"In post","2022","Attorney General's Departments","Other","London","Female","285","270","33520","27580"
"In post","2022","Attorney General's Departments","Other","London","Male","175","170","35400","30100"
"In post","2022","Attorney General's Departments","Other","Outside London","Female","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","London","Female","60","55","53400","54760"
"In post","2022","Attorney General's Departments","Policy","London","Male","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","London","Female","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","London","Male","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","Outside London","Female","40","35","37640","34170"
