"Status","Year","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","London","Heterosexual / straight","2630","2550","50230","46710"
"In post","2022","Analysis","London","LGBO","265","260","47160","43770"
"In post","2022","Analysis","London","Undeclared","375","360","51160","53180"
"In post","2022","Analysis","London","Unknown","485","475","46960","41750"
"In post","2022","Analysis","Outside London","Heterosexual / straight","2840","2705","39290","36840"
"In post","2022","Analysis","Outside London","LGBO","295","290","35740","33080"
"In post","2022","Analysis","Outside London","Undeclared","285","275","37840","35590"
"In post","2022","Analysis","Outside London","Unknown","1265","1210","38230","36840"
"In post","2022","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Heterosexual / straight","850","835","54280","47590"
"In post","2022","Commercial","London","LGBO","70","70","47550","45040"
"In post","2022","Commercial","London","Undeclared","155","150","49630","44040"
"In post","2022","Commercial","London","Unknown","785","770","67430","64500"
"In post","2022","Commercial","Outside London","Heterosexual / straight","2945","2840","39280","36780"
"In post","2022","Commercial","Outside London","LGBO","140","135","35880","33300"
"In post","2022","Commercial","Outside London","Undeclared","385","370","39250","36970"
"In post","2022","Commercial","Outside London","Unknown","1175","1150","52930","49700"
"In post","2022","Commercial","Overseas","Heterosexual / straight","30","30","49940","43300"
"In post","2022","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Heterosexual / straight","35","35","48550","49700"
"In post","2022","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","25","25","[c]","[c]"
"In post","2022","Communications","London","Heterosexual / straight","1465","1430","48040","43810"
"In post","2022","Communications","London","LGBO","170","170","44650","41340"
"In post","2022","Communications","London","Undeclared","275","270","45400","40640"
"In post","2022","Communications","London","Unknown","510","500","46770","42470"
"In post","2022","Communications","Outside London","Heterosexual / straight","3665","3515","32290","28920"
"In post","2022","Communications","Outside London","LGBO","285","280","31240","27250"
"In post","2022","Communications","Outside London","Undeclared","340","320","32800","29200"
"In post","2022","Communications","Outside London","Unknown","1805","1750","29920","26820"
"In post","2022","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","Heterosexual / straight","2140","2030","38390","34730"
"In post","2022","Counter Fraud","London","LGBO","125","120","37930","33440"
