"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","G6/G7","Female","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","EO","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","EO","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","SCS level","Female","[c]","[c]","[c]","[c]"
