"Status","Year","Disability","Ethnicity","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","London","AA/AO","245","210","24970","25110"
"In post","2022","Declared disabled","Asian","London","EO","470","425","30310","31060"
"In post","2022","Declared disabled","Asian","London","G6/G7","195","190","60150","59130"
"In post","2022","Declared disabled","Asian","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","London","SEO/HEO","440","425","38910","38370"
"In post","2022","Declared disabled","Asian","London","Unknown","35","35","31610","29650"
"In post","2022","Declared disabled","Asian","Outside London","AA/AO","565","480","21720","21260"
"In post","2022","Declared disabled","Asian","Outside London","EO","615","570","27240","27570"
"In post","2022","Declared disabled","Asian","Outside London","G6/G7","85","85","55890","54160"
"In post","2022","Declared disabled","Asian","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Outside London","SEO/HEO","340","325","35610","33460"
"In post","2022","Declared disabled","Asian","Outside London","Unknown","90","85","29350","28200"
"In post","2022","Declared disabled","Asian","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","EO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","London","AA/AO","270","245","25320","25110"
"In post","2022","Declared disabled","Black","London","EO","490","465","30440","31060"
"In post","2022","Declared disabled","Black","London","G6/G7","125","125","59170","57570"
"In post","2022","Declared disabled","Black","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","London","SEO/HEO","310","305","38440","37930"
"In post","2022","Declared disabled","Black","London","Unknown","145","140","34780","34100"
"In post","2022","Declared disabled","Black","Outside London","AA/AO","190","170","22320","21260"
"In post","2022","Declared disabled","Black","Outside London","EO","235","215","27660","27570"
"In post","2022","Declared disabled","Black","Outside London","G6/G7","30","30","54300","52080"
"In post","2022","Declared disabled","Black","Outside London","SCS level","[c]","[c]","[c]","[c]"
