"Status","Year","Profession_of_post","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","95","90","37490","35000"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","85","85","40150","40000"
"In post","2022","Commercial","Cheshire","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Commercial","Cheshire","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Cumbria","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Outside London","Female","55","50","40010","38550"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Outside London","Male","35","35","45710","44330"
"In post","2022","Commercial","Devon","Outside London","Female","130","125","41650","38830"
"In post","2022","Commercial","Devon","Outside London","Male","100","100","45550","45810"
"In post","2022","Commercial","Dorset and Somerset","Outside London","Female","70","65","39280","34610"
"In post","2022","Commercial","Dorset and Somerset","Outside London","Male","60","60","43160","42510"
"In post","2022","Commercial","East Anglia","Outside London","Female","105","100","36620","36110"
"In post","2022","Commercial","East Anglia","Outside London","Male","80","75","39700","37190"
"In post","2022","Commercial","East Wales","Outside London","Female","80","80","36540","31990"
"In post","2022","Commercial","East Wales","Outside London","Male","90","85","38350","33660"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Outside London","Female","45","40","31740","27020"
"In post","2022","Commercial","Eastern Scotland","Outside London","Male","60","60","36580","33730"
"In post","2022","Commercial","Essex","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Essex","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","795","745","37120","34800"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","695","680","41130","38240"
"In post","2022","Commercial","Greater Manchester","Outside London","Female","135","130","38970","36780"
"In post","2022","Commercial","Greater Manchester","Outside London","Male","105","105","39460","36500"
"In post","2022","Commercial","Hampshire and Isle of Wight","Outside London","Female","150","140","35200","34800"
"In post","2022","Commercial","Hampshire and Isle of Wight","Outside London","Male","95","95","37640","34800"
"In post","2022","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Highlands and Islands","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Highlands and Islands","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","London","Female","50","45","41910","41750"
"In post","2022","Commercial","Inner London - East","London","Male","55","55","50480","47650"
"In post","2022","Commercial","Inner London - West","London","Female","435","420","45910","41750"
"In post","2022","Commercial","Inner London - West","London","Male","380","375","49920","45600"
"In post","2022","Commercial","Kent","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Kent","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Lancashire","Outside London","Female","50","45","36830","32080"
"In post","2022","Commercial","Lancashire","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Lincolnshire","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Lincolnshire","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Merseyside","Outside London","Female","170","160","33790","30940"
"In post","2022","Commercial","Merseyside","Outside London","Male","110","105","36750","38330"
"In post","2022","Commercial","North Eastern Scotland","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Commercial","North Eastern Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North Yorkshire","Outside London","Female","35","30","38240","37690"
"In post","2022","Commercial","North Yorkshire","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northumberland, and Tyne and Wear","Outside London","Female","45","40","35870","34290"
"In post","2022","Commercial","Northumberland, and Tyne and Wear","Outside London","Male","40","40","39340","36500"
"In post","2022","Commercial","Outer London - East and North East","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Outer London - East and North East","London","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Outer London - South","London","Female","70","70","42780","41950"
"In post","2022","Commercial","Outer London - South","London","Male","40","40","43920","42060"
"In post","2022","Commercial","Outer London - West and North West","London","Female","25","25","[c]","[c]"
"In post","2022","Commercial","Outer London - West and North West","London","Male","40","35","37950","34770"
"In post","2022","Commercial","Overseas","Overseas","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","Male","30","30","52140","51040"
"In post","2022","Commercial","Shropshire and Staffordshire","Outside London","Female","80","75","37490","34500"
"In post","2022","Commercial","Shropshire and Staffordshire","Outside London","Male","40","40","39770","33080"
"In post","2022","Commercial","South Yorkshire","Outside London","Female","140","130","35530","33170"
"In post","2022","Commercial","South Yorkshire","Outside London","Male","115","110","35710","35310"
