"Status","Year","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East Midlands (England)","125","120","42170","38710"
"In post","2022","Commercial","East of England","200","190","38910","36900"
"In post","2022","Commercial","London","1105","1075","46550","42170"
"In post","2022","Commercial","North East (England)","185","175","38190","36500"
"In post","2022","Commercial","North West (England)","630","600","37230","36260"
"In post","2022","Commercial","Northern Ireland","10","10","31730","30960"
"In post","2022","Commercial","Overseas","40","40","48740","42130"
"In post","2022","Commercial","Scotland","290","285","35050","33300"
"In post","2022","Commercial","South East (England)","475","460","37840","35900"
"In post","2022","Commercial","South West (England)","1860","1785","39670","37400"
"In post","2022","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","370","350","35190","31850"
"In post","2022","Commercial","West Midlands (England)","280","275","38210","36340"
"In post","2022","Commercial","Yorkshire and The Humber","630","600","38750","36500"
"In post","2022","Communications","East Midlands (England)","105","100","38710","36970"
"In post","2022","Communications","East of England","85","80","34580","33000"
"In post","2022","Communications","London","2210","2160","46720","42850"
"In post","2022","Communications","North East (England)","100","95","35920","33370"
"In post","2022","Communications","North West (England)","235","230","37020","35390"
"In post","2022","Communications","Northern Ireland","30","30","41910","37910"
"In post","2022","Communications","Overseas","10","10","43080","40610"
"In post","2022","Communications","Scotland","80","80","37870","37020"
"In post","2022","Communications","South East (England)","285","270","34520","33000"
"In post","2022","Communications","South West (England)","305","285","36350","33890"
"In post","2022","Communications","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","Wales","380","360","37860","35920"
"In post","2022","Communications","West Midlands (England)","165","160","39610","36780"
"In post","2022","Communications","Yorkshire and The Humber","170","165","43310","41130"
"In post","2022","Corporate Finance","London","55","55","56580","55570"
"In post","2022","Corporate Finance","Scotland","10","10","45380","42200"
"In post","2022","Corporate Finance","South East (England)","30","25","38170","38260"
"In post","2022","Corporate Finance","South West (England)","35","35","48030","44760"
"In post","2022","Corporate Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","West Midlands (England)","10","10","45850","40800"
"In post","2022","Corporate Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","East Midlands (England)","320","280","28140","27570"
"In post","2022","Counter Fraud","East of England","335","305","30090","29290"
"In post","2022","Counter Fraud","London","1255","1155","34130","31060"
"In post","2022","Counter Fraud","North East (England)","550","495","27120","27570"
"In post","2022","Counter Fraud","North West (England)","710","650","29310","27570"
"In post","2022","Counter Fraud","Northern Ireland","15","10","25140","25310"
"In post","2022","Counter Fraud","Scotland","745","670","26080","27570"
"In post","2022","Counter Fraud","South East (England)","650","585","28400","27570"
"In post","2022","Counter Fraud","South West (England)","360","315","28090","27570"
"In post","2022","Counter Fraud","Unknown","10","5","[c]","[c]"
"In post","2022","Counter Fraud","Wales","580","525","26820","27570"
"In post","2022","Counter Fraud","West Midlands (England)","550","485","28630","27570"
"In post","2022","Counter Fraud","Yorkshire and The Humber","515","460","29320","27570"
"In post","2022","Digital, Data and Technology","East Midlands (England)","390","380","37020","33370"
"In post","2022","Digital, Data and Technology","East of England","670","640","36510","34050"
"In post","2022","Digital, Data and Technology","London","4055","3990","49360","45000"
"In post","2022","Digital, Data and Technology","North East (England)","2180","2100","41890","38430"
"In post","2022","Digital, Data and Technology","North West (England)","2950","2865","41600","37210"
"In post","2022","Digital, Data and Technology","Northern Ireland","55","55","36430","33370"
"In post","2022","Digital, Data and Technology","Overseas","40","40","32510","33170"
"In post","2022","Digital, Data and Technology","Scotland","800","790","38900","35540"
