"Status","Year","Ethnicity","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","10","10","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Operational Delivery","London","10","10","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Operational Delivery","Outside London","35","35","24970","24370"
"In post","2022","Asian","Animal and Plant Health Agency","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Science and Engineering","Outside London","30","30","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Legal","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","London","430","425","47130","41820"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","Outside London","65","60","36340","32000"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Finance","Outside London","[c]","[c]","[c]","[c]"
