"Status","Year","Disability","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","AA/AO","AA","60","50","21120","21250"
"In post","2022","Declared disabled","Asian","AA/AO","AO","745","645","22830","21410"
"In post","2022","Declared disabled","Asian","EO","EO","1105","1015","28600","27570"
"In post","2022","Declared disabled","Asian","G6/G7","G6","70","65","68840","67910"
"In post","2022","Declared disabled","Asian","G6/G7","G7","220","210","55690","54700"
"In post","2022","Declared disabled","Asian","SCS level","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","SEO/HEO","HEO","475","455","34580","34020"
"In post","2022","Declared disabled","Asian","SEO/HEO","SEO","310","305","41880","41000"
"In post","2022","Declared disabled","Asian","Unknown","Unknown","130","120","29910","28200"
"In post","2022","Declared disabled","Black","AA/AO","AA","55","50","22340","21860"
"In post","2022","Declared disabled","Black","AA/AO","AO","410","370","24310","23720"
"In post","2022","Declared disabled","Black","EO","EO","730","685","29530","29870"
"In post","2022","Declared disabled","Black","G6/G7","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Black","G6/G7","G7","135","135","56440","54700"
"In post","2022","Declared disabled","Black","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","SEO/HEO","HEO","275","270","35060","35050"
"In post","2022","Declared disabled","Black","SEO/HEO","SEO","165","160","42480","41750"
"In post","2022","Declared disabled","Black","Unknown","Unknown","260","250","32840","31420"
"In post","2022","Declared disabled","Mixed","AA/AO","AA","30","25","[c]","[c]"
"In post","2022","Declared disabled","Mixed","AA/AO","AO","290","265","22930","21260"
"In post","2022","Declared disabled","Mixed","EO","EO","400","370","28430","27570"
"In post","2022","Declared disabled","Mixed","G6/G7","G6","35","30","67900","66360"
"In post","2022","Declared disabled","Mixed","G6/G7","G7","135","130","55490","54540"
"In post","2022","Declared disabled","Mixed","SCS level","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","SEO/HEO","HEO","235","225","34480","33900"
"In post","2022","Declared disabled","Mixed","SEO/HEO","SEO","120","115","42220","41360"
"In post","2022","Declared disabled","Mixed","Unknown","Unknown","140","135","32220","30210"
"In post","2022","Declared disabled","Other ethnicity","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","AA/AO","AO","60","60","23500","21410"
"In post","2022","Declared disabled","Other ethnicity","EO","EO","115","110","28750","27570"
"In post","2022","Declared disabled","Other ethnicity","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","G6/G7","G7","40","35","54700","53760"
"In post","2022","Declared disabled","Other ethnicity","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","SEO/HEO","HEO","80","80","34570","33810"
"In post","2022","Declared disabled","Other ethnicity","SEO/HEO","SEO","35","35","41410","40670"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","AA/AO","AA","45","40","20670","20480"
"In post","2022","Declared disabled","Undeclared","AA/AO","AO","540","475","22820","21260"
"In post","2022","Declared disabled","Undeclared","EO","EO","685","625","28400","27570"
"In post","2022","Declared disabled","Undeclared","G6/G7","G6","50","50","68580","67800"
"In post","2022","Declared disabled","Undeclared","G6/G7","G7","140","135","55290","54650"
"In post","2022","Declared disabled","Undeclared","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","SEO/HEO","HEO","295","285","34140","33370"
"In post","2022","Declared disabled","Undeclared","SEO/HEO","SEO","210","200","41710","40850"
"In post","2022","Declared disabled","Undeclared","Unknown","Unknown","125","115","33760","33700"
"In post","2022","Declared disabled","Unknown","AA/AO","AA","55","50","20710","20950"
"In post","2022","Declared disabled","Unknown","AA/AO","AO","365","310","23100","22080"
"In post","2022","Declared disabled","Unknown","EO","EO","355","325","29530","27760"
"In post","2022","Declared disabled","Unknown","G6/G7","G6","35","30","69080","66230"
"In post","2022","Declared disabled","Unknown","G6/G7","G7","100","95","55480","54160"
"In post","2022","Declared disabled","Unknown","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SEO/HEO","HEO","200","185","34490","33630"
"In post","2022","Declared disabled","Unknown","SEO/HEO","SEO","115","110","42980","41000"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","60","55","34540","34340"
"In post","2022","Declared disabled","White","AA/AO","AA","1735","1535","20450","20480"
"In post","2022","Declared disabled","White","AA/AO","AO","11330","9930","22610","21260"
"In post","2022","Declared disabled","White","EO","EO","12880","11650","27750","27570"
"In post","2022","Declared disabled","White","G6/G7","G6","1150","1100","68620","67820"
"In post","2022","Declared disabled","White","G6/G7","G7","3240","3120","55010","54540"
"In post","2022","Declared disabled","White","SCS level","SCS level","420","410","88880","80000"
"In post","2022","Declared disabled","White","SEO/HEO","HEO","6445","6120","33610","33300"
"In post","2022","Declared disabled","White","SEO/HEO","SEO","4265","4080","41690","40580"
"In post","2022","Declared disabled","White","Unknown","Unknown","2785","2590","30930","28200"
"In post","2022","Declared non-disabled","Asian","AA/AO","AA","520","465","21100","21050"
"In post","2022","Declared non-disabled","Asian","AA/AO","AO","6290","5565","22740","21260"
"In post","2022","Declared non-disabled","Asian","EO","EO","8565","8030","28310","27570"
"In post","2022","Declared non-disabled","Asian","G6/G7","G6","635","610","69330","67340"
"In post","2022","Declared non-disabled","Asian","G6/G7","G7","2275","2220","56090","54850"
"In post","2022","Declared non-disabled","Asian","SCS level","SCS level","245","240","88760","81970"
"In post","2022","Declared non-disabled","Asian","SEO/HEO","HEO","4450","4320","34350","33580"
"In post","2022","Declared non-disabled","Asian","SEO/HEO","SEO","2720","2665","42170","41750"
"In post","2022","Declared non-disabled","Asian","Unknown","Unknown","615","575","29840","27980"
"In post","2022","Declared non-disabled","Black","AA/AO","AA","365","345","22550","21960"
"In post","2022","Declared non-disabled","Black","AA/AO","AO","2835","2645","24710","24100"
"In post","2022","Declared non-disabled","Black","EO","EO","4425","4250","29210","29290"
"In post","2022","Declared non-disabled","Black","G6/G7","G6","165","165","69850","68700"
"In post","2022","Declared non-disabled","Black","G6/G7","G7","930","920","55960","54700"
"In post","2022","Declared non-disabled","Black","SCS level","SCS level","70","70","87890","80470"
"In post","2022","Declared non-disabled","Black","SEO/HEO","HEO","2140","2100","34760","34400"
"In post","2022","Declared non-disabled","Black","SEO/HEO","SEO","1340","1320","42370","41950"
"In post","2022","Declared non-disabled","Black","Unknown","Unknown","860","830","31100","28200"
"In post","2022","Declared non-disabled","Mixed","AA/AO","AA","120","110","21030","20890"
"In post","2022","Declared non-disabled","Mixed","AA/AO","AO","1355","1255","23870","21840"
"In post","2022","Declared non-disabled","Mixed","EO","EO","1635","1555","28120","27570"
"In post","2022","Declared non-disabled","Mixed","G6/G7","G6","265","255","68390","66660"
"In post","2022","Declared non-disabled","Mixed","G6/G7","G7","820","800","55340","54700"
"In post","2022","Declared non-disabled","Mixed","SCS level","SCS level","110","105","86330","79850"
"In post","2022","Declared non-disabled","Mixed","SEO/HEO","HEO","1165","1135","33990","33570"
"In post","2022","Declared non-disabled","Mixed","SEO/HEO","SEO","760","740","42020","41220"
"In post","2022","Declared non-disabled","Mixed","Unknown","Unknown","380","360","30450","28200"
"In post","2022","Declared non-disabled","Other ethnicity","AA/AO","AA","40","35","21610","21650"
"In post","2022","Declared non-disabled","Other ethnicity","AA/AO","AO","385","355","24230","23140"
"In post","2022","Declared non-disabled","Other ethnicity","EO","EO","515","485","28570","27980"
"In post","2022","Declared non-disabled","Other ethnicity","G6/G7","G6","80","75","68530","66440"
"In post","2022","Declared non-disabled","Other ethnicity","G6/G7","G7","225","215","56150","54800"
"In post","2022","Declared non-disabled","Other ethnicity","SCS level","SCS level","35","35","84800","83880"
"In post","2022","Declared non-disabled","Other ethnicity","SEO/HEO","HEO","295","285","34190","33960"
"In post","2022","Declared non-disabled","Other ethnicity","SEO/HEO","SEO","245","240","43110","41370"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","Unknown","75","70","30750","28730"
"In post","2022","Declared non-disabled","Undeclared","AA/AO","AA","165","150","20270","19810"
"In post","2022","Declared non-disabled","Undeclared","AA/AO","AO","2090","1835","22790","21260"
"In post","2022","Declared non-disabled","Undeclared","EO","EO","2720","2470","28320","27570"
"In post","2022","Declared non-disabled","Undeclared","G6/G7","G6","305","290","69040","68240"
"In post","2022","Declared non-disabled","Undeclared","G6/G7","G7","935","910","55240","54970"
"In post","2022","Declared non-disabled","Undeclared","SCS level","SCS level","55","55","89000","80180"
