"Status","Year","Disability","Ethnicity","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","Heterosexual / straight","65","60","33750","28200"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","50","45","30820","29290"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Derbyshire and Nottinghamshire","Heterosexual / straight","80","70","29750","27570"
"In post","2022","Declared disabled","Asian","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Derbyshire and Nottinghamshire","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Dorset and Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Dorset and Somerset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Anglia","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Wales","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Wales","Undeclared","[c]","[c]","[c]","[c]"
