"Status","Year","Disability","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Female","55","50","41300","38210"
"In post","2022","Declared disabled","Commercial","London","Male","45","45","41600","41750"
"In post","2022","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","Female","50","45","34260","31490"
"In post","2022","Declared disabled","Commercial","North West (England)","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South West (England)","Female","100","90","38580","37830"
"In post","2022","Declared disabled","Commercial","South West (England)","Male","65","65","40830","40000"
"In post","2022","Declared disabled","Commercial","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Wales","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Wales","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","West Midlands (England)","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","West Midlands (England)","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Yorkshire and The Humber","Female","50","45","36620","33170"
"In post","2022","Declared disabled","Commercial","Yorkshire and The Humber","Male","30","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","East of England","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","East of England","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","Female","80","75","43020","39320"
"In post","2022","Declared disabled","Communications","London","Male","50","50","42250","40490"
"In post","2022","Declared disabled","Communications","London","Unknown","[c]","[c]","[c]","[c]"
