"Status","Year","Age","Disability","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
