"Status","Year","Age","Disability","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","AA/AO","30","30","20950","21150"
"In post","2022","16-19","Declared disabled","EO","15","15","[c]","[c]"
"In post","2022","16-19","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","AA/AO","485","465","21440","21260"
"In post","2022","16-19","Declared non-disabled","EO","155","155","24160","25000"
"In post","2022","16-19","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","30","30","19260","18030"
"In post","2022","16-19","Undeclared","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","365","345","21560","21250"
"In post","2022","16-19","Unknown","EO","130","125","22860","24830"
"In post","2022","16-19","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","45","45","17940","16720"
"In post","2022","20-29","Declared disabled","AA/AO","1695","1640","22530","21260"
"In post","2022","20-29","Declared disabled","EO","1725","1700","27440","27570"
"In post","2022","20-29","Declared disabled","G6/G7","340","335","54340","53420"
"In post","2022","20-29","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","SEO/HEO","1650","1635","34730","33570"
"In post","2022","20-29","Declared disabled","Unknown","375","370","26080","24270"
"In post","2022","20-29","Declared non-disabled","AA/AO","15675","15275","22930","21300"
"In post","2022","20-29","Declared non-disabled","EO","14195","14035","27220","27500"
"In post","2022","20-29","Declared non-disabled","G6/G7","3050","3040","54890","54110"
"In post","2022","20-29","Declared non-disabled","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","SEO/HEO","14940","14870","34920","33570"
"In post","2022","20-29","Declared non-disabled","Unknown","2520","2485","26070","24090"
"In post","2022","20-29","Undeclared","AA/AO","695","680","22990","21260"
"In post","2022","20-29","Undeclared","EO","650","635","27550","27570"
"In post","2022","20-29","Undeclared","G6/G7","185","185","54550","53380"
"In post","2022","20-29","Undeclared","SEO/HEO","810","805","35020","33980"
"In post","2022","20-29","Undeclared","Unknown","100","100","26400","24800"
"In post","2022","20-29","Unknown","AA/AO","8495","8270","22800","21680"
"In post","2022","20-29","Unknown","EO","6585","6535","27620","27050"
"In post","2022","20-29","Unknown","G6/G7","1470","1465","55260","53600"
"In post","2022","20-29","Unknown","SCS level","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","SEO/HEO","8150","8115","34330","33250"
"In post","2022","20-29","Unknown","Unknown","1255","1235","25740","24090"
"In post","2022","30-39","Declared disabled","AA/AO","2150","1965","22740","21260"
"In post","2022","30-39","Declared disabled","EO","2275","2155","27730","27570"
"In post","2022","30-39","Declared disabled","G6/G7","1250","1215","56970","54850"
"In post","2022","30-39","Declared disabled","SCS level","65","65","80510","75060"
"In post","2022","30-39","Declared disabled","SEO/HEO","2540","2470","36430","35310"
"In post","2022","30-39","Declared disabled","Unknown","625","590","29290","28220"
"In post","2022","30-39","Declared non-disabled","AA/AO","16345","14895","23310","21650"
"In post","2022","30-39","Declared non-disabled","EO","17620","16670","27590","27570"
"In post","2022","30-39","Declared non-disabled","G6/G7","12320","11975","57230","55210"
"In post","2022","30-39","Declared non-disabled","SCS level","740","715","79760","75460"
"In post","2022","30-39","Declared non-disabled","SEO/HEO","23230","22555","36730","36130"
"In post","2022","30-39","Declared non-disabled","Unknown","3135","2930","30820","30210"
"In post","2022","30-39","Undeclared","AA/AO","1275","1165","23800","21490"
"In post","2022","30-39","Undeclared","EO","1335","1270","28290","27570"
"In post","2022","30-39","Undeclared","G6/G7","770","760","57670","55210"
"In post","2022","30-39","Undeclared","SCS level","40","40","77630","74780"
