"Status","Year","Disability","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Female","365","330","31850","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Male","180","175","32800","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Female","600","550","31840","28920"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Male","440","430","33190","30700"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cheshire","Female","295","260","29480","27570"
"In post","2022","Declared disabled","Cheshire","Male","170","160","31930","27580"
"In post","2022","Declared disabled","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Female","160","140","26620","27570"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Male","95","90","26910","26780"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","Female","150","130","27790","25190"
"In post","2022","Declared disabled","Cumbria","Male","110","105","30530","27280"
"In post","2022","Declared disabled","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Female","1070","960","30460","27570"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Male","670","640","29830","27570"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Devon","Female","605","520","28220","27130"
"In post","2022","Declared disabled","Devon","Male","450","425","30620","27570"
"In post","2022","Declared disabled","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Dorset and Somerset","Female","375","335","28510","27570"
"In post","2022","Declared disabled","Dorset and Somerset","Male","285","270","30710","27680"
"In post","2022","Declared disabled","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Anglia","Female","840","750","28730","27570"
"In post","2022","Declared disabled","East Anglia","Male","635","600","30960","28210"
"In post","2022","Declared disabled","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Wales","Female","1140","1030","31550","27570"
"In post","2022","Declared disabled","East Wales","Male","755","720","33320","29430"
"In post","2022","Declared disabled","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Female","310","265","27480","27570"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Male","240","225","28050","27000"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Eastern Scotland","Female","1195","1095","33290","27570"
"In post","2022","Declared disabled","Eastern Scotland","Male","860","820","34670","31540"
"In post","2022","Declared disabled","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Essex","Female","465","415","29840","29290"
"In post","2022","Declared disabled","Essex","Male","220","205","31190","29290"
"In post","2022","Declared disabled","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Female","1605","1475","33160","29720"
"In post","2022","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Male","1420","1380","36770","33370"
"In post","2022","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Greater Manchester","Female","1410","1265","30400","27570"
"In post","2022","Declared disabled","Greater Manchester","Male","985","945","31730","27570"
"In post","2022","Declared disabled","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Hampshire and Isle of Wight","Female","930","815","29940","27570"
"In post","2022","Declared disabled","Hampshire and Isle of Wight","Male","725","680","31560","27570"
"In post","2022","Declared disabled","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Female","315","285","28440","27570"
"In post","2022","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Male","165","155","29690","27570"
"In post","2022","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Highlands and Islands","Female","100","90","28320","27570"
"In post","2022","Declared disabled","Highlands and Islands","Male","75","70","29760","27570"
"In post","2022","Declared disabled","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inner London - East","Female","1115","1040","37710","31880"
"In post","2022","Declared disabled","Inner London - East","Male","745","720","40290","36020"
"In post","2022","Declared disabled","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inner London - West","Female","3160","3025","44640","40210"
"In post","2022","Declared disabled","Inner London - West","Male","2290","2255","46520","41750"
"In post","2022","Declared disabled","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Kent","Female","575","520","29420","28640"
"In post","2022","Declared disabled","Kent","Male","420","400","30480","29290"
"In post","2022","Declared disabled","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Lancashire","Female","1290","1125","27610","27570"
"In post","2022","Declared disabled","Lancashire","Male","775","725","28330","27570"
"In post","2022","Declared disabled","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Leicestershire, Rutland and Northamptonshire","Female","510","450","27000","26310"
"In post","2022","Declared disabled","Leicestershire, Rutland and Northamptonshire","Male","290","275","27570","27130"
"In post","2022","Declared disabled","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Lincolnshire","Female","245","220","27410","26910"
"In post","2022","Declared disabled","Lincolnshire","Male","170","160","30050","27570"
"In post","2022","Declared disabled","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Merseyside","Female","1610","1400","28500","26820"
"In post","2022","Declared disabled","Merseyside","Male","890","840","29250","26780"
"In post","2022","Declared disabled","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","North Eastern Scotland","Female","75","70","30090","27570"
"In post","2022","Declared disabled","North Eastern Scotland","Male","60","55","38920","33070"
"In post","2022","Declared disabled","North Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","North Yorkshire","Female","295","275","32460","27570"
"In post","2022","Declared disabled","North Yorkshire","Male","195","185","30580","27570"
"In post","2022","Declared disabled","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland","Female","185","170","30140","26820"
"In post","2022","Declared disabled","Northern Ireland","Male","150","145","28590","26820"
"In post","2022","Declared disabled","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northumberland, and Tyne and Wear","Female","1605","1370","27700","26590"
"In post","2022","Declared disabled","Northumberland, and Tyne and Wear","Male","995","930","29170","26820"
"In post","2022","Declared disabled","Northumberland, and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Outer London - East and North East","Female","360","325","30700","31060"
"In post","2022","Declared disabled","Outer London - East and North East","Male","170","165","31490","31060"
"In post","2022","Declared disabled","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Outer London - South","Female","740","680","35510","31060"
"In post","2022","Declared disabled","Outer London - South","Male","465","450","40600","36620"
