"Status","Year","Profession_of_post","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AO","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AO","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G7","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G7","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","HEO","Female","30","30","33150","33690"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","HEO","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO","Female","30","30","41710","42000"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO","Male","30","30","42710","42560"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","HEO","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Cheshire","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","SEO","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Cheshire","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Cumbria","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","EO","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","EO","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","G6","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","G7","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","G7","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","HEO","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","HEO","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","SEO","Female","20","20","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","SEO","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","EO","Female","15","10","[c]","[c]"
"In post","2022","Commercial","Devon","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","G6","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Devon","G6","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Devon","G7","Female","40","40","47970","47960"
"In post","2022","Commercial","Devon","G7","Male","40","40","48390","47960"
"In post","2022","Commercial","Devon","HEO","Female","20","20","[c]","[c]"
"In post","2022","Commercial","Devon","HEO","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Devon","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","SEO","Female","35","35","38340","38200"
"In post","2022","Commercial","Devon","SEO","Male","25","25","[c]","[c]"
"In post","2022","Commercial","Devon","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Devon","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","EO","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","EO","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","G6","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","G7","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","G7","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","HEO","Female","20","20","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","HEO","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","SEO","Female","25","20","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","SEO","Male","25","20","[c]","[c]"
"In post","2022","Commercial","East Anglia","AO","Female","5","5","[c]","[c]"
"In post","2022","Commercial","East Anglia","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","EO","Female","10","10","[c]","[c]"
"In post","2022","Commercial","East Anglia","EO","Male","5","5","[c]","[c]"
"In post","2022","Commercial","East Anglia","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","G7","Female","10","5","[c]","[c]"
"In post","2022","Commercial","East Anglia","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","HEO","Female","35","30","31900","32730"
"In post","2022","Commercial","East Anglia","HEO","Male","30","30","[c]","[c]"
"In post","2022","Commercial","East Anglia","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","SEO","Female","45","45","41020","40770"
"In post","2022","Commercial","East Anglia","SEO","Male","35","35","41100","39640"
"In post","2022","Commercial","East Anglia","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","EO","Female","15","15","[c]","[c]"
"In post","2022","Commercial","East Wales","EO","Male","20","20","[c]","[c]"
"In post","2022","Commercial","East Wales","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","G7","Female","10","10","[c]","[c]"
"In post","2022","Commercial","East Wales","G7","Male","10","10","[c]","[c]"
"In post","2022","Commercial","East Wales","HEO","Female","35","30","31870","31470"
"In post","2022","Commercial","East Wales","HEO","Male","25","25","[c]","[c]"
"In post","2022","Commercial","East Wales","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","SEO","Female","15","15","[c]","[c]"
"In post","2022","Commercial","East Wales","SEO","Male","25","25","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","AA","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","AA","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","AO","Female","15","10","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","AO","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","EO","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","EO","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","G7","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","HEO","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","HEO","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","SEO","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Essex","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Essex","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AO","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AO","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Female","130","120","24740","25890"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Male","80","75","24660","26000"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","G6","Female","30","25","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","G6","Male","45","45","69750","68100"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","G7","Female","75","70","52220","52820"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","G7","Male","95","95","53360","53500"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","Female","255","240","31510","33000"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","Male","165","165","31840","33000"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","Female","5","5","[c]","[c]"
