"Status","Year","Disability","Ethnicity","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Commercial","Heterosexual / straight","30","30","41960","37580"
"In post","2022","Declared disabled","Asian","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Heterosexual / straight","60","55","28540","27570"
"In post","2022","Declared disabled","Asian","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data and Technology","Heterosexual / straight","75","70","41220","36050"
"In post","2022","Declared disabled","Asian","Digital, Data and Technology","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Economics","Heterosexual / straight","10","10","[c]","[c]"
