"Status","Year","Age","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions","35","30","23940","21260"
"In post","2022","16-19","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Revenue and Customs","25","25","[c]","[c]"
"In post","2022","16-19","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Cabinet Office","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Environment, Food and Rural Affairs","20","15","[c]","[c]"
"In post","2022","16-19","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Transport","55","45","20150","18310"
"In post","2022","16-19","Unknown","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","HM Land Registry","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","HM Revenue and Customs","110","105","22000","21250"
"In post","2022","16-19","Unknown","Home Office","40","40","23620","21680"
"In post","2022","16-19","Unknown","Ministry of Defence","95","95","18070","17140"
"In post","2022","16-19","Unknown","Ministry of Justice","90","90","22630","21790"
"In post","2022","16-19","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Scottish Government","40","40","22340","21050"
"In post","2022","16-19","Unknown","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Attorney General's Departments","35","35","22200","22200"
"In post","2022","16-19","White","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Department for Business, Energy and Industrial Strategy","15","15","[c]","[c]"
"In post","2022","16-19","White","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Department for Environment, Food and Rural Affairs","20","20","[c]","[c]"
"In post","2022","16-19","White","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Department for Transport","40","35","19820","18310"
"In post","2022","16-19","White","Department for Work and Pensions","95","95","22830","21260"
"In post","2022","16-19","White","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2022","16-19","White","Foreign, Commonwealth and Development Office","20","20","[c]","[c]"
"In post","2022","16-19","White","HM Land Registry","5","5","[c]","[c]"
"In post","2022","16-19","White","HM Revenue and Customs","70","70","22390","21250"
"In post","2022","16-19","White","HM Treasury","10","10","[c]","[c]"
"In post","2022","16-19","White","Home Office","10","10","[c]","[c]"
"In post","2022","16-19","White","Ministry of Defence","110","110","19350","19460"
"In post","2022","16-19","White","Ministry of Justice","100","100","23390","23140"
"In post","2022","16-19","White","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Scottish Government","45","45","21910","21050"
"In post","2022","16-19","White","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","UK Statistics Authority","20","15","[c]","[c]"
