"Status","Year","Disability","Function_of_post","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Corporate Finance","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","East Wales","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Inner London - East","20","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Inner London - West","40","40","50280","40860"
"In post","2022","Declared disabled","Analysis","Economics","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Outer London - West and North West","[c]","[c]","[c]","[c]"
