"Status","Year","Organisation","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Unknown","Outside London","AA/AO","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","Unknown","Outside London","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","Unknown","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","Outside London","SEO/HEO","35","35","37500","36130"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","EO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","G6/G7","10","10","62230","59470"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","SEO/HEO","20","20","45700","46750"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","SEO/HEO","15","15","38670","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","EO","15","15","29520","29660"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","G6/G7","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","SEO/HEO","70","65","39820","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","AA/AO","35","30","20620","20240"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","EO","275","255","24660","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","G6/G7","20","20","57510","51680"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","SEO/HEO","435","400","34030","32260"
