"Status","Year","Disability","Function_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","EO","Heterosexual / straight","50","50","27800","27710"
"In post","2022","Declared disabled","Analysis","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","G6","Heterosexual / straight","40","40","70720","69480"
"In post","2022","Declared disabled","Analysis","G6","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","G6","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","G7","Heterosexual / straight","85","80","55680","55210"
"In post","2022","Declared disabled","Analysis","G7","LGBO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","G7","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","G7","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HEO","Heterosexual / straight","135","130","33510","33210"
"In post","2022","Declared disabled","Analysis","HEO","LGBO","40","40","33200","31990"
"In post","2022","Declared disabled","Analysis","HEO","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SEO","Heterosexual / straight","140","130","40540","39950"
"In post","2022","Declared disabled","Analysis","SEO","LGBO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SEO","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA","Undeclared","[c]","[c]","[c]","[c]"
