"Status","Year","Age","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Operational Delivery","AO","30","30","21270","20440"
"In post","2022","16-19","Attorney General's Departments","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Security","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Unknown","EO","10","10","25700","25800"
"In post","2022","16-19","Chancellor's other departments","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","AO","10","10","21500","21130"
