"Status","Year","Disability","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","London","AA","Heterosexual / straight","135","120","22830","22460"
"In post","2022","Declared disabled","London","AA","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","London","AA","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","London","AA","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","London","AO","Heterosexual / straight","860","785","25740","25110"
"In post","2022","Declared disabled","London","AO","LGBO","80","75","26950","25110"
"In post","2022","Declared disabled","London","AO","Undeclared","115","100","25410","25110"
"In post","2022","Declared disabled","London","AO","Unknown","100","90","25790","25110"
"In post","2022","Declared disabled","London","EO","Heterosexual / straight","1775","1665","30340","30750"
"In post","2022","Declared disabled","London","EO","LGBO","235","230","30020","30460"
"In post","2022","Declared disabled","London","EO","Undeclared","280","255","30230","30500"
"In post","2022","Declared disabled","London","EO","Unknown","185","165","30760","31060"
"In post","2022","Declared disabled","London","G6","Heterosexual / straight","505","485","68890","68040"
"In post","2022","Declared disabled","London","G6","LGBO","75","75","67660","66230"
"In post","2022","Declared disabled","London","G6","Undeclared","70","65","69430","68710"
"In post","2022","Declared disabled","London","G6","Unknown","30","30","69590","68630"
"In post","2022","Declared disabled","London","G7","Heterosexual / straight","1140","1100","56890","55470"
"In post","2022","Declared disabled","London","G7","LGBO","240","235","55900","54700"
"In post","2022","Declared disabled","London","G7","Undeclared","145","145","57430","57430"
"In post","2022","Declared disabled","London","G7","Unknown","65","60","58280","58940"
"In post","2022","Declared disabled","London","HEO","Heterosexual / straight","1315","1275","35950","35210"
"In post","2022","Declared disabled","London","HEO","LGBO","265","260","35140","34550"
"In post","2022","Declared disabled","London","HEO","Undeclared","185","180","35920","35680"
"In post","2022","Declared disabled","London","HEO","Unknown","85","80","36620","37290"
"In post","2022","Declared disabled","London","SCS level","Heterosexual / straight","220","210","91130","82350"
"In post","2022","Declared disabled","London","SCS level","LGBO","45","45","87540","77450"
"In post","2022","Declared disabled","London","SCS level","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","London","SEO","Heterosexual / straight","955","925","43440","42410"
"In post","2022","Declared disabled","London","SEO","LGBO","170","165","42350","41750"
