"Status","Year","Disability","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","Female","Heterosexual / straight","550","500","43150","39750"
"In post","2022","Declared disabled","Attorney General's Departments","Female","LGBO","45","40","39770","33460"
"In post","2022","Declared disabled","Attorney General's Departments","Female","Undeclared","35","35","47400","52530"
"In post","2022","Declared disabled","Attorney General's Departments","Female","Unknown","70","60","41870","34750"
"In post","2022","Declared disabled","Attorney General's Departments","Male","Heterosexual / straight","270","260","44320","43920"
"In post","2022","Declared disabled","Attorney General's Departments","Male","LGBO","45","45","50260","51940"
"In post","2022","Declared disabled","Attorney General's Departments","Male","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Male","Unknown","30","30","49120","55610"
"In post","2022","Declared disabled","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Female","Heterosexual / straight","395","380","42970","38420"
"In post","2022","Declared disabled","Cabinet Office","Female","LGBO","65","60","41630","40600"
"In post","2022","Declared disabled","Cabinet Office","Female","Undeclared","50","45","42720","39240"
"In post","2022","Declared disabled","Cabinet Office","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Male","Heterosexual / straight","275","270","46540","40580"
"In post","2022","Declared disabled","Cabinet Office","Male","LGBO","70","70","45490","40600"
"In post","2022","Declared disabled","Cabinet Office","Male","Undeclared","40","40","49030","49700"
"In post","2022","Declared disabled","Cabinet Office","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
