"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","East of England","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","London","135","135","41590","40110"
"In post","2022","Asian","Commercial","North East (England)","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","North West (England)","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","South East (England)","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","South West (England)","35","35","37820","33300"
"In post","2022","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","West Midlands (England)","40","40","36810","36780"
"In post","2022","Asian","Commercial","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2022","Asian","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","London","145","140","41390","38870"
"In post","2022","Asian","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","North West (England)","15","15","[c]","[c]"
"In post","2022","Asian","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","West Midlands (England)","15","15","[c]","[c]"
"In post","2022","Asian","Communications","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","15","15","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East Midlands (England)","25","25","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East of England","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","325","290","29270","25600"
"In post","2022","Asian","Counter Fraud","North East (England)","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North West (England)","40","35","27900","27570"
"In post","2022","Asian","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Scotland","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South East (England)","45","40","27730","27570"
"In post","2022","Asian","Counter Fraud","South West (England)","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Wales","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","West Midlands (England)","90","85","26770","27570"
"In post","2022","Asian","Counter Fraud","Yorkshire and The Humber","40","35","27610","27570"
"In post","2022","Asian","Digital, Data and Technology","East Midlands (England)","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","East of England","30","30","38250","34130"
"In post","2022","Asian","Digital, Data and Technology","London","665","655","47110","42290"
"In post","2022","Asian","Digital, Data and Technology","North East (England)","80","80","42760","40520"
"In post","2022","Asian","Digital, Data and Technology","North West (England)","160","160","39940","36050"
"In post","2022","Asian","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Scotland","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","South East (England)","45","45","37990","33330"
"In post","2022","Asian","Digital, Data and Technology","South West (England)","70","70","35900","32500"
