"Status","Year","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Aberdeen City and Aberdeenshire","Heterosexual / straight","1160","1090","38550","31540"
"In post","2022","Aberdeen City and Aberdeenshire","LGBO","75","75","34400","30200"
"In post","2022","Aberdeen City and Aberdeenshire","Undeclared","135","125","40630","32670"
"In post","2022","Aberdeen City and Aberdeenshire","Unknown","565","525","32540","29900"
"In post","2022","Angus and Dundee City","Heterosexual / straight","1365","1285","28170","27230"
"In post","2022","Angus and Dundee City","LGBO","115","110","25570","22140"
"In post","2022","Angus and Dundee City","Undeclared","110","100","24650","21260"
"In post","2022","Angus and Dundee City","Unknown","490","455","25950","23230"
"In post","2022","Antrim and Newtownabbey","Heterosexual / straight","170","165","25630","20560"
"In post","2022","Antrim and Newtownabbey","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Undeclared","15","15","[c]","[c]"
"In post","2022","Antrim and Newtownabbey","Unknown","20","20","[c]","[c]"
"In post","2022","Ards and North Down","Heterosexual / straight","195","185","27440","21920"
"In post","2022","Ards and North Down","LGBO","5","5","[c]","[c]"
"In post","2022","Ards and North Down","Undeclared","15","15","[c]","[c]"
"In post","2022","Ards and North Down","Unknown","30","30","26440","24120"
"In post","2022","Armagh City, Banbridge and Craigavon","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Heterosexual / straight","500","460","31950","31060"
"In post","2022","Barking & Dagenham and Havering","LGBO","15","15","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Undeclared","45","40","30110","31060"
"In post","2022","Barking & Dagenham and Havering","Unknown","135","120","31070","31060"
"In post","2022","Barnet","Heterosexual / straight","1220","1145","37840","32330"
"In post","2022","Barnet","LGBO","65","65","39530","32330"
"In post","2022","Barnet","Undeclared","165","150","40280","33110"
"In post","2022","Barnet","Unknown","340","320","45800","38930"
"In post","2022","Barnsley, Doncaster and Rotherham","Heterosexual / straight","2195","1970","27940","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","LGBO","130","125","28760","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Undeclared","245","225","28920","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Unknown","550","485","26390","25700"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","10710","10280","38260","35190"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","475","465","33560","31600"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","1435","1365","40410","39650"
