"Status","Year","Age","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Male","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Male","Undeclared","[c]","[c]","[c]","[c]"
