"Status","Year","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","East Midlands (England)","Female","330","300","38250","33900"
"In post","2022","Attorney General's Departments","East Midlands (England)","Male","155","150","41380","48080"
"In post","2022","Attorney General's Departments","East of England","Female","370","325","39160","30110"
"In post","2022","Attorney General's Departments","East of England","Male","145","145","47380","53050"
"In post","2022","Attorney General's Departments","London","Female","3040","2795","49300","51250"
"In post","2022","Attorney General's Departments","London","Male","1765","1725","50850","51250"
"In post","2022","Attorney General's Departments","North East (England)","Female","235","210","36900","28430"
"In post","2022","Attorney General's Departments","North East (England)","Male","120","115","43820","48080"
"In post","2022","Attorney General's Departments","North West (England)","Female","675","615","37400","30130"
"In post","2022","Attorney General's Departments","North West (England)","Male","340","330","43490","48080"
"In post","2022","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Female","500","455","40890","32460"
"In post","2022","Attorney General's Departments","South East (England)","Male","240","230","45930","53050"
"In post","2022","Attorney General's Departments","South West (England)","Female","230","210","40960","41070"
"In post","2022","Attorney General's Departments","South West (England)","Male","135","130","44850","48270"
"In post","2022","Attorney General's Departments","Wales","Female","265","245","38220","34480"
"In post","2022","Attorney General's Departments","Wales","Male","130","120","46300","48080"
"In post","2022","Attorney General's Departments","West Midlands (England)","Female","415","380","39430","38000"
"In post","2022","Attorney General's Departments","West Midlands (England)","Male","175","175","44240","48080"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","Female","625","565","39370","34480"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","Male","310","305","44120","48080"
"In post","2022","Cabinet Office","East Midlands (England)","Female","35","30","48790","38980"
"In post","2022","Cabinet Office","East Midlands (England)","Male","30","30","57620","54700"
"In post","2022","Cabinet Office","East of England","Female","120","115","43600","39200"
"In post","2022","Cabinet Office","East of England","Male","135","135","44360","38330"
"In post","2022","Cabinet Office","London","Female","3480","3410","47540","40600"
"In post","2022","Cabinet Office","London","Male","3120","3105","53180","54700"
"In post","2022","Cabinet Office","North East (England)","Female","300","275","29120","25550"
"In post","2022","Cabinet Office","North East (England)","Male","180","175","33020","28000"
"In post","2022","Cabinet Office","North West (England)","Female","550","535","42520","38890"
"In post","2022","Cabinet Office","North West (England)","Male","405","400","44800","38980"
"In post","2022","Cabinet Office","Northern Ireland","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Scotland","Female","165","160","42440","34550"
"In post","2022","Cabinet Office","Scotland","Male","135","130","43580","32000"
"In post","2022","Cabinet Office","South East (England)","Female","125","120","41110","33300"
"In post","2022","Cabinet Office","South East (England)","Male","120","115","51200","40580"
"In post","2022","Cabinet Office","South West (England)","Female","135","130","50640","49700"
"In post","2022","Cabinet Office","South West (England)","Male","145","145","56990","52810"
"In post","2022","Cabinet Office","Unknown","Female","245","240","36570","32000"
"In post","2022","Cabinet Office","Unknown","Male","230","230","38310","32000"
"In post","2022","Cabinet Office","Wales","Female","115","110","37060","32000"
"In post","2022","Cabinet Office","Wales","Male","90","90","40290","37300"
"In post","2022","Cabinet Office","West Midlands (England)","Female","125","120","47500","38310"
"In post","2022","Cabinet Office","West Midlands (England)","Male","130","130","57430","49700"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Female","505","475","38300","33300"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Male","425","415","40240","33300"
"In post","2022","Chancellor's other departments","London","Female","155","145","55440","48900"
"In post","2022","Chancellor's other departments","London","Male","200","195","64400","56490"
"In post","2022","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North East (England)","Male","15","15","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Female","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Male","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Scotland","Female","15","15","[c]","[c]"
"In post","2022","Chancellor's other departments","Scotland","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","London","Female","55","50","43990","37910"
"In post","2022","Charity Commission","London","Male","30","30","[c]","[c]"
"In post","2022","Charity Commission","North West (England)","Female","210","190","31660","29160"
"In post","2022","Charity Commission","North West (England)","Male","135","135","32130","29160"
"In post","2022","Charity Commission","South West (England)","Female","20","15","[c]","[c]"
"In post","2022","Charity Commission","South West (England)","Male","15","15","[c]","[c]"
"In post","2022","Charity Commission","Wales","Female","5","5","[c]","[c]"
"In post","2022","Charity Commission","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","London","Female","395","375","58500","55860"
"In post","2022","Competition and Markets Authority","London","Male","400","395","64440","59450"
"In post","2022","Competition and Markets Authority","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Northern Ireland","Male","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Scotland","Female","30","30","57610","55860"
"In post","2022","Competition and Markets Authority","Scotland","Male","25","25","[c]","[c]"
"In post","2022","Competition and Markets Authority","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Female","135","125","30100","30930"
"In post","2022","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Male","95","90","33120","31220"
"In post","2022","Department for Business, Energy and Industrial Strategy","East of England","Female","125","115","32490","31000"
"In post","2022","Department for Business, Energy and Industrial Strategy","East of England","Male","85","85","35550","34950"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","Female","2975","2870","47620","43710"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","Male","2990","2955","50080","53380"
"In post","2022","Department for Business, Energy and Industrial Strategy","North East (England)","Female","135","125","31130","30950"
"In post","2022","Department for Business, Energy and Industrial Strategy","North East (England)","Male","90","85","35560","31220"
"In post","2022","Department for Business, Energy and Industrial Strategy","North West (England)","Female","345","330","34270","30950"
"In post","2022","Department for Business, Energy and Industrial Strategy","North West (England)","Male","315","305","37820","36060"
"In post","2022","Department for Business, Energy and Industrial Strategy","Northern Ireland","Female","15","15","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Northern Ireland","Male","30","30","31310","32560"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","Female","15","15","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","Male","15","15","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Scotland","Female","205","185","34380","30930"
"In post","2022","Department for Business, Energy and Industrial Strategy","Scotland","Male","220","210","38090","34390"
"In post","2022","Department for Business, Energy and Industrial Strategy","South East (England)","Female","150","140","33780","32730"
"In post","2022","Department for Business, Energy and Industrial Strategy","South East (England)","Male","110","105","36710","34500"
"In post","2022","Department for Business, Energy and Industrial Strategy","South West (England)","Female","845","780","38120","37670"
