"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Wales","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Wales","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Eastern Scotland","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","Male","30","30","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South Yorkshire","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South Yorkshire","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Tees Valley and Durham","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Tees Valley and Durham","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
