"Status","Year","Disability","Ethnicity","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","London","Heterosexual / straight","1190","1110","37030","31880"
"In post","2022","Declared disabled","Asian","London","LGBO","55","50","39880","35200"
"In post","2022","Declared disabled","Asian","London","Undeclared","90","85","34580","31880"
"In post","2022","Declared disabled","Asian","London","Unknown","65","55","33740","31090"
"In post","2022","Declared disabled","Asian","Outside London","Heterosexual / straight","1415","1295","29250","27570"
"In post","2022","Declared disabled","Asian","Outside London","LGBO","55","50","28810","27570"
"In post","2022","Declared disabled","Asian","Outside London","Undeclared","110","100","26650","26590"
"In post","2022","Declared disabled","Asian","Outside London","Unknown","125","105","26420","26490"
"In post","2022","Declared disabled","Asian","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","London","Heterosexual / straight","1130","1085","34510","31060"
"In post","2022","Declared disabled","Black","London","LGBO","55","55","39780","33550"
"In post","2022","Declared disabled","Black","London","Undeclared","90","85","34480","31060"
"In post","2022","Declared disabled","Black","London","Unknown","70","65","31930","31060"
"In post","2022","Declared disabled","Black","Outside London","Heterosexual / straight","600","550","29760","27570"
"In post","2022","Declared disabled","Black","Outside London","LGBO","30","30","30090","27570"
"In post","2022","Declared disabled","Black","Outside London","Undeclared","50","45","28620","27570"
"In post","2022","Declared disabled","Black","Outside London","Unknown","25","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","London","Heterosexual / straight","350","335","39790","34550"
"In post","2022","Declared disabled","Mixed","London","LGBO","75","75","41850","34890"
"In post","2022","Declared disabled","Mixed","London","Undeclared","50","45","35830","33000"
"In post","2022","Declared disabled","Mixed","London","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Outside London","Heterosexual / straight","610","565","30660","27570"
"In post","2022","Declared disabled","Mixed","Outside London","LGBO","135","130","30380","27570"
"In post","2022","Declared disabled","Mixed","Outside London","Undeclared","95","85","30630","27570"
"In post","2022","Declared disabled","Mixed","Outside London","Unknown","45","40","31200","27570"
"In post","2022","Declared disabled","Mixed","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","London","Heterosexual / straight","120","115","39710","34260"
"In post","2022","Declared disabled","Other ethnicity","London","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Outside London","Heterosexual / straight","120","115","30430","27570"
"In post","2022","Declared disabled","Other ethnicity","Outside London","LGBO","40","35","34320","31050"
"In post","2022","Declared disabled","Other ethnicity","Outside London","Undeclared","30","25","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","London","Heterosexual / straight","110","105","36130","31090"
"In post","2022","Declared disabled","Undeclared","London","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","London","Undeclared","240","230","41070","35130"
"In post","2022","Declared disabled","Undeclared","London","Unknown","45","40","37000","31880"
"In post","2022","Declared disabled","Undeclared","Outside London","Heterosexual / straight","290","270","29910","27570"
"In post","2022","Declared disabled","Undeclared","Outside London","LGBO","65","60","29790","27570"
"In post","2022","Declared disabled","Undeclared","Outside London","Undeclared","1110","1010","31260","27570"
"In post","2022","Declared disabled","Undeclared","Outside London","Unknown","210","180","28410","27570"
"In post","2022","Declared disabled","Undeclared","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Overseas","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","London","Heterosexual / straight","60","60","41830","37930"
"In post","2022","Declared disabled","Unknown","London","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Unknown","London","Undeclared","30","30","[c]","[c]"
"In post","2022","Declared disabled","Unknown","London","Unknown","155","150","39380","35150"
"In post","2022","Declared disabled","Unknown","Outside London","Heterosexual / straight","240","210","30720","27120"
"In post","2022","Declared disabled","Unknown","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Outside London","Undeclared","70","65","34320","28860"
"In post","2022","Declared disabled","Unknown","Outside London","Unknown","690","615","30570","27570"
"In post","2022","Declared disabled","Unknown","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Overseas","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
