"Status","Year","Parent_department","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","East Midlands (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","AO","Female","80","70","21900","22200"
"In post","2022","Attorney General's Departments","East Midlands (England)","AO","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","EO","Female","70","65","26810","26090"
"In post","2022","Attorney General's Departments","East Midlands (England)","EO","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","G6","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","G7","Female","130","110","52520","51470"
"In post","2022","Attorney General's Departments","East Midlands (England)","G7","Male","80","80","53180","51940"
"In post","2022","Attorney General's Departments","East Midlands (England)","HEO","Female","40","40","34110","34480"
"In post","2022","Attorney General's Departments","East Midlands (England)","HEO","Male","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","SEO","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","AO","Female","95","85","22990","23770"
"In post","2022","Attorney General's Departments","East of England","AO","Male","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","EO","Female","90","80","28070","27760"
"In post","2022","Attorney General's Departments","East of England","EO","Male","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","G6","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","G6","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","G7","Female","120","100","57670","55610"
"In post","2022","Attorney General's Departments","East of England","G7","Male","80","80","58350","59930"
"In post","2022","Attorney General's Departments","East of England","HEO","Female","50","45","36920","38000"
"In post","2022","Attorney General's Departments","East of England","HEO","Male","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","SEO","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AA","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AO","Female","280","255","23530","23770"
"In post","2022","Attorney General's Departments","London","AO","Male","140","135","23480","23770"
"In post","2022","Attorney General's Departments","London","EO","Female","530","500","28430","27580"
"In post","2022","Attorney General's Departments","London","EO","Male","250","245","28610","27760"
"In post","2022","Attorney General's Departments","London","G6","Female","580","510","67750","65760"
"In post","2022","Attorney General's Departments","London","G6","Male","385","375","69300","67100"
"In post","2022","Attorney General's Departments","London","G7","Female","1120","1020","55100","53050"
"In post","2022","Attorney General's Departments","London","G7","Male","565","550","56110","53050"
"In post","2022","Attorney General's Departments","London","HEO","Female","270","260","35860","33930"
"In post","2022","Attorney General's Departments","London","HEO","Male","190","190","34920","33100"
"In post","2022","Attorney General's Departments","London","SCS level","Female","155","145","86480","80000"
"In post","2022","Attorney General's Departments","London","SCS level","Male","105","105","87010","82720"
"In post","2022","Attorney General's Departments","London","SEO","Female","110","105","40410","39750"
"In post","2022","Attorney General's Departments","London","SEO","Male","120","120","40930","40170"
"In post","2022","Attorney General's Departments","North East (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","AO","Female","65","55","22310","22200"
"In post","2022","Attorney General's Departments","North East (England)","AO","Male","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","EO","Female","55","50","27200","27870"
"In post","2022","Attorney General's Departments","North East (England)","EO","Male","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","G6","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","G7","Female","80","70","53350","54200"
"In post","2022","Attorney General's Departments","North East (England)","G7","Male","60","55","53800","55610"
"In post","2022","Attorney General's Departments","North East (England)","HEO","Female","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","HEO","Male","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","SEO","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","SEO","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","AO","Female","160","145","22150","22200"
"In post","2022","Attorney General's Departments","North West (England)","AO","Male","55","50","21960","22200"
"In post","2022","Attorney General's Departments","North West (England)","EO","Female","170","155","27330","28430"
"In post","2022","Attorney General's Departments","North West (England)","EO","Male","55","55","27300","28430"
"In post","2022","Attorney General's Departments","North West (England)","G6","Female","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","G6","Male","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","G7","Female","230","205","53540","54200"
"In post","2022","Attorney General's Departments","North West (England)","G7","Male","165","160","54140","55610"
"In post","2022","Attorney General's Departments","North West (England)","HEO","Female","70","70","33390","32420"
"In post","2022","Attorney General's Departments","North West (England)","HEO","Male","35","35","33720","33310"
"In post","2022","Attorney General's Departments","North West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","SEO","Female","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","SEO","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","AO","Female","110","100","23620","23770"
"In post","2022","Attorney General's Departments","South East (England)","AO","Male","50","45","23680","23770"
"In post","2022","Attorney General's Departments","South East (England)","EO","Female","125","115","28260","27440"
"In post","2022","Attorney General's Departments","South East (England)","EO","Male","35","35","28410","27760"
"In post","2022","Attorney General's Departments","South East (England)","G6","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","G6","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","G7","Female","185","165","58190","56560"
"In post","2022","Attorney General's Departments","South East (England)","G7","Male","115","110","59340","62120"
"In post","2022","Attorney General's Departments","South East (England)","HEO","Female","50","45","36010","36240"
"In post","2022","Attorney General's Departments","South East (England)","HEO","Male","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","SEO","Female","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","SEO","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","AO","Female","45","40","22290","22200"
"In post","2022","Attorney General's Departments","South West (England)","AO","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","EO","Female","45","40","26620","26010"
"In post","2022","Attorney General's Departments","South West (England)","EO","Male","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","G6","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","G6","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","G7","Female","100","85","52550","51470"
"In post","2022","Attorney General's Departments","South West (England)","G7","Male","65","60","55100","55610"
"In post","2022","Attorney General's Departments","South West (England)","HEO","Female","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","HEO","Male","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","SEO","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","SEO","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","AO","Female","60","55","21970","22200"
"In post","2022","Attorney General's Departments","Wales","AO","Male","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","EO","Female","55","50","27110","27750"
"In post","2022","Attorney General's Departments","Wales","EO","Male","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","G7","Female","105","95","53250","54200"
"In post","2022","Attorney General's Departments","Wales","G7","Male","70","65","54530","55610"
"In post","2022","Attorney General's Departments","Wales","HEO","Female","30","30","33960","33310"
"In post","2022","Attorney General's Departments","Wales","HEO","Male","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","SEO","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","SEO","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","AO","Female","85","80","22350","22200"
"In post","2022","Attorney General's Departments","West Midlands (England)","AO","Male","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","EO","Female","90","85","27020","27260"
"In post","2022","Attorney General's Departments","West Midlands (England)","EO","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","G6","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","G6","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","G7","Female","175","160","52940","51470"
"In post","2022","Attorney General's Departments","West Midlands (England)","G7","Male","85","80","54870","55610"
"In post","2022","Attorney General's Departments","West Midlands (England)","HEO","Female","40","35","33530","32170"
"In post","2022","Attorney General's Departments","West Midlands (England)","HEO","Male","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","SEO","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","AO","Female","130","115","22100","22200"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","AO","Male","40","40","22190","22200"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","EO","Female","130","115","27170","27170"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","EO","Male","55","50","26590","25920"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","G6","Female","35","30","66570","67000"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","G6","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","G7","Female","215","195","53010","51470"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","G7","Male","125","125","54570","55610"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","HEO","Female","85","80","34180","33310"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","HEO","Male","30","30","33040","32260"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","SEO","Female","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","SEO","Male","25","25","[c]","[c]"
"In post","2022","Cabinet Office","East Midlands (England)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","East Midlands (England)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","East Midlands (England)","G6","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office","East Midlands (England)","G6","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office","East Midlands (England)","G7","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office","East Midlands (England)","G7","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office","East Midlands (England)","HEO","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office","East Midlands (England)","HEO","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","East Midlands (England)","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","East Midlands (England)","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","East of England","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","East of England","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","East of England","EO","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office","East of England","EO","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office","East of England","G6","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office","East of England","G6","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office","East of England","G7","Female","30","30","[c]","[c]"
"In post","2022","Cabinet Office","East of England","G7","Male","25","25","[c]","[c]"
"In post","2022","Cabinet Office","East of England","HEO","Female","25","25","[c]","[c]"
"In post","2022","Cabinet Office","East of England","HEO","Male","45","45","31470","31250"
"In post","2022","Cabinet Office","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","East of England","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Cabinet Office","East of England","SEO","Female","35","35","38770","38980"
"In post","2022","Cabinet Office","East of England","SEO","Male","30","30","39240","38980"
"In post","2022","Cabinet Office","London","AO","Female","65","60","24150","24490"
"In post","2022","Cabinet Office","London","AO","Male","50","50","24350","24490"
"In post","2022","Cabinet Office","London","EO","Female","325","315","27740","27500"
"In post","2022","Cabinet Office","London","EO","Male","220","220","27670","27500"
"In post","2022","Cabinet Office","London","G6","Female","385","375","68550","65070"
"In post","2022","Cabinet Office","London","G6","Male","400","400","69130","66440"
"In post","2022","Cabinet Office","London","G7","Female","950","920","56460","54700"
"In post","2022","Cabinet Office","London","G7","Male","970","965","57000","54700"
"In post","2022","Cabinet Office","London","HEO","Female","1120","1110","31700","32000"
"In post","2022","Cabinet Office","London","HEO","Male","810","805","32230","32000"
"In post","2022","Cabinet Office","London","SCS level","Female","255","250","92730","83870"
"In post","2022","Cabinet Office","London","SCS level","Male","345","345","104630","94860"
"In post","2022","Cabinet Office","London","SEO","Female","385","380","41010","40600"
"In post","2022","Cabinet Office","London","SEO","Male","325","320","41100","40600"
