"Status","Year","Profession_of_post","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Heterosexual / straight","150","145","38770","37240"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Cheshire","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","Cheshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","Cumbria","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","65","65","43530","39430"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Devon","Outside London","Heterosexual / straight","195","185","43860","45150"
"In post","2022","Commercial","Devon","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Devon","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2022","Commercial","Devon","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Outside London","Heterosexual / straight","90","85","42210","42510"
"In post","2022","Commercial","Dorset and Somerset","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Commercial","East Anglia","Outside London","Heterosexual / straight","130","125","37260","34800"
"In post","2022","Commercial","East Anglia","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","East Anglia","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","East Anglia","Outside London","Unknown","25","25","[c]","[c]"
"In post","2022","Commercial","East Wales","Outside London","Heterosexual / straight","120","120","37380","31990"
"In post","2022","Commercial","East Wales","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","East Wales","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","East Wales","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Outside London","Heterosexual / straight","55","50","39470","37710"
"In post","2022","Commercial","Eastern Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Outside London","Unknown","45","45","29560","26900"
"In post","2022","Commercial","Essex","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Essex","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Essex","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Heterosexual / straight","1125","1080","39170","37400"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","LGBO","45","45","34040","32050"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Undeclared","155","150","41790","38240"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","160","155","36430","34550"
"In post","2022","Commercial","Greater Manchester","Outside London","Heterosexual / straight","170","165","40640","36780"
"In post","2022","Commercial","Greater Manchester","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Outside London","Unknown","45","40","36050","36050"
