"Status","Year","Ethnicity","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","AA","680","605","21150","21250"
"In post","2022","Asian","AO","7835","6920","22790","21260"
"In post","2022","Asian","EO","10815","10140","28350","27570"
"In post","2022","Asian","G6","845","815","69260","67440"
"In post","2022","Asian","G7","2985","2915","55890","54760"
"In post","2022","Asian","HEO","5790","5615","34380","33610"
"In post","2022","Asian","SCS level","330","320","91540","85000"
"In post","2022","Asian","SEO","3530","3460","42110","41450"
"In post","2022","Asian","Unknown","840","785","29920","28200"
"In post","2022","Black","AA","515","480","22670","22140"
"In post","2022","Black","AO","3630","3370","24830","24220"
"In post","2022","Black","EO","5665","5425","29270","29290"
"In post","2022","Black","G6","240","235","69590","68430"
"In post","2022","Black","G7","1240","1225","55800","54700"
"In post","2022","Black","HEO","2760","2710","34830","34550"
"In post","2022","Black","SCS level","100","95","93280","82610"
"In post","2022","Black","SEO","1735","1715","42280","41750"
"In post","2022","Black","Unknown","1195","1150","31600","28690"
"In post","2022","Mixed","AA","175","160","21200","20890"
"In post","2022","Mixed","AO","1840","1700","23760","21830"
"In post","2022","Mixed","EO","2320","2200","28270","27570"
"In post","2022","Mixed","G6","360","345","68370","66450"
"In post","2022","Mixed","G7","1115","1080","55310","54650"
"In post","2022","Mixed","HEO","1635","1590","34120","33570"
"In post","2022","Mixed","SCS level","150","145","84910","78630"
"In post","2022","Mixed","SEO","1020","995","42010","41000"
"In post","2022","Mixed","Unknown","560","530","30850","28690"
"In post","2022","Other ethnicity","AA","55","55","21730","21560"
"In post","2022","Other ethnicity","AO","505","465","24280","23140"
"In post","2022","Other ethnicity","EO","725","685","28660","28210"
"In post","2022","Other ethnicity","G6","115","110","70100","67600"
"In post","2022","Other ethnicity","G7","325","310","55800","54700"
"In post","2022","Other ethnicity","HEO","430","415","34400","33990"
"In post","2022","Other ethnicity","SCS level","50","50","88430","83880"
"In post","2022","Other ethnicity","SEO","340","335","42820","41330"
"In post","2022","Other ethnicity","Unknown","105","100","31100","29000"
"In post","2022","Undeclared","AA","400","365","20370","19810"
"In post","2022","Undeclared","AO","4240","3780","23250","21680"
"In post","2022","Undeclared","EO","5610","5160","28570","27570"
"In post","2022","Undeclared","G6","765","735","69460","68200"
"In post","2022","Undeclared","G7","2135","2070","55710","55210"
"In post","2022","Undeclared","HEO","3510","3350","34450","33540"
"In post","2022","Undeclared","SCS level","205","200","87500","80220"
"In post","2022","Undeclared","SEO","2740","2635","42310","41100"
"In post","2022","Undeclared","Unknown","600","560","34330","33200"
"In post","2022","Unknown","AA","3460","3175","20940","20920"
"In post","2022","Unknown","AO","19335","17970","23160","21680"
"In post","2022","Unknown","EO","15945","15210","28010","27270"
"In post","2022","Unknown","G6","2495","2415","69530","67230"
"In post","2022","Unknown","G7","6610","6445","55800","54700"
"In post","2022","Unknown","HEO","11790","11505","33350","33080"
"In post","2022","Unknown","SCS level","935","910","96000","88000"
"In post","2022","Unknown","SEO","6345","6160","41500","40600"
"In post","2022","Unknown","Unknown","5580","5210","31430","28760"
"In post","2022","White","AA","13395","12100","20490","20480"
"In post","2022","White","AO","81100","72660","23270","21680"
"In post","2022","White","EO","90190","83185","27810","27570"
"In post","2022","White","G6","14280","13730","68890","67770"
"In post","2022","White","G7","35935","34615","55180","54540"
"In post","2022","White","HEO","57135","54675","33770","33300"
"In post","2022","White","SCS level","5455","5280","90070","82340"
"In post","2022","White","SEO","42770","41105","41940","40580"
"In post","2022","White","Unknown","14565","13630","31690","28980"
"Leaver CS","2022","Asian","AA","95","[c]","20290","19970"
"Leaver CS","2022","Asian","AO","750","[c]","22220","21260"
"Leaver CS","2022","Asian","EO","715","[c]","28210","27570"
"Leaver CS","2022","Asian","G6","55","[c]","68810","67460"
"Leaver CS","2022","Asian","G7","170","[c]","56260","54270"
"Leaver CS","2022","Asian","HEO","300","[c]","33710","33430"
"Leaver CS","2022","Asian","SCS level","45","[c]","98160","95140"
"Leaver CS","2022","Asian","SEO","220","[c]","40980","40600"
