"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Outside London","AA/AO","AA","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","Outside London","EO","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","Outside London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","SEO/HEO","HEO","25","25","34530","36130"
"In post","2022","Accountant in Bankruptcy","Outside London","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","AA/AO","AO","10","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","EO","35","30","28410","28420"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6/G7","G7","20","20","58670","58000"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","HEO","65","65","37640","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","SEO","50","45","46490","47560"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","AO","40","35","20520","20040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","EO","EO","285","270","24680","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","G7","25","25","52840","51340"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","HEO","370","340","32350","31020"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","SEO","115","105","41060","39880"
"In post","2022","Animal and Plant Health Agency","London","AA/AO","AO","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","EO","EO","55","55","30260","31460"
"In post","2022","Animal and Plant Health Agency","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","G6/G7","G7","10","10","56120","55120"
"In post","2022","Animal and Plant Health Agency","London","SEO/HEO","HEO","20","20","34700","34190"
"In post","2022","Animal and Plant Health Agency","London","SEO/HEO","SEO","15","15","41170","39910"
"In post","2022","Animal and Plant Health Agency","Outside London","AA/AO","AA","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","AA/AO","AO","840","785","22070","21300"
"In post","2022","Animal and Plant Health Agency","Outside London","EO","EO","760","720","26100","25310"
"In post","2022","Animal and Plant Health Agency","Outside London","G6/G7","G6","60","55","62560","61770"
