"Status","Year","Disability","Ethnicity","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","AA","Female","30","25","21160","20970"
"In post","2022","Declared disabled","Asian","AA","Male","30","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","AO","Female","440","360","22730","21680"
"In post","2022","Declared disabled","Asian","AO","Male","305","285","22970","21260"
"In post","2022","Declared disabled","Asian","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","EO","Female","650","575","28750","28200"
"In post","2022","Declared disabled","Asian","EO","Male","455","435","28380","27570"
"In post","2022","Declared disabled","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","G6","Female","40","35","68990","67910"
"In post","2022","Declared disabled","Asian","G6","Male","30","30","68660","67910"
"In post","2022","Declared disabled","Asian","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","G7","Female","130","125","55210","54650"
"In post","2022","Declared disabled","Asian","G7","Male","90","85","56390","55070"
"In post","2022","Declared disabled","Asian","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HEO","Female","260","240","34380","34180"
"In post","2022","Declared disabled","Asian","HEO","Male","215","210","34820","33970"
"In post","2022","Declared disabled","Asian","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","SEO","Female","165","160","41620","40660"
"In post","2022","Declared disabled","Asian","SEO","Male","145","145","42170","41750"
"In post","2022","Declared disabled","Asian","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Female","90","85","30200","28200"
"In post","2022","Declared disabled","Asian","Unknown","Male","40","35","29240","28200"
"In post","2022","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","AA","Female","35","30","22710","22230"
"In post","2022","Declared disabled","Black","AA","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","AO","Female","295","260","24010","23720"
"In post","2022","Declared disabled","Black","AO","Male","115","110","25090","23720"
"In post","2022","Declared disabled","Black","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","EO","Female","555","515","29570","30090"
"In post","2022","Declared disabled","Black","EO","Male","175","170","29440","29290"
"In post","2022","Declared disabled","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","G6","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","G6","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","G7","Female","95","95","56350","54700"
"In post","2022","Declared disabled","Black","G7","Male","40","40","56640","54700"
"In post","2022","Declared disabled","Black","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","HEO","Female","190","185","35060","35050"
"In post","2022","Declared disabled","Black","HEO","Male","85","85","35070","34650"
"In post","2022","Declared disabled","Black","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","SEO","Female","120","120","42270","41500"
"In post","2022","Declared disabled","Black","SEO","Male","45","45","43060","41850"
"In post","2022","Declared disabled","Black","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Female","205","195","32530","30880"
"In post","2022","Declared disabled","Black","Unknown","Male","55","55","33970","32690"
"In post","2022","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","AA","Female","15","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","AA","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","AO","Female","185","160","22300","21260"
"In post","2022","Declared disabled","Mixed","AO","Male","105","100","24020","21680"
"In post","2022","Declared disabled","Mixed","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","EO","Female","250","230","28270","27570"
"In post","2022","Declared disabled","Mixed","EO","Male","145","140","28710","27570"
"In post","2022","Declared disabled","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","G6","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","G6","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","G7","Female","80","75","55280","54350"
"In post","2022","Declared disabled","Mixed","G7","Male","55","50","55790","54650"
"In post","2022","Declared disabled","Mixed","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","HEO","Female","150","145","34050","33570"
