"Status","Year","Parent_department","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Outside London","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","London","Heterosexual / straight","50","50","43840","39750"
"In post","2022","Attorney General's Departments","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","London","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","London","Heterosexual / straight","170","165","46440","40000"
"In post","2022","Attorney General's Departments","Counter Fraud","London","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","London","Unknown","50","50","48220","40410"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","Heterosexual / straight","70","70","45190","40170"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Outside London","Heterosexual / straight","75","70","38560","33310"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","London","Heterosexual / straight","55","55","36280","31560"
"In post","2022","Attorney General's Departments","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","London","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Outside London","Heterosexual / straight","120","110","28900","25480"
"In post","2022","Attorney General's Departments","Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","London","Heterosexual / straight","100","95","39550","33090"
"In post","2022","Attorney General's Departments","Human Resources","London","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","London","Unknown","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Outside London","Heterosexual / straight","105","100","34580","30370"
"In post","2022","Attorney General's Departments","Human Resources","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Outside London","Undeclared","5","5","[c]","[c]"
