"Status","Year","Disability","Ethnicity","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Economics","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Statistics","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Commercial","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Communications","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Operational Delivery","10","10","[c]","[c]"
