"Status","Year","Disability","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Female","375","350","41370","37930"
"In post","2022","Declared disabled","Analysis","Male","340","330","41780","38020"
"In post","2022","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Female","255","245","38040","37040"
"In post","2022","Declared disabled","Commercial","Male","200","195","41310","37430"
"In post","2022","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Female","355","330","35520","33080"
"In post","2022","Declared disabled","Communications","Male","255","250","33820","33080"
"In post","2022","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Female","1165","1025","30460","27570"
"In post","2022","Declared disabled","Counter Fraud","Male","815","760","31940","27570"
"In post","2022","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Female","530","440","23540","21260"
"In post","2022","Declared disabled","Debt","Male","280","260","23170","21260"
"In post","2022","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Female","875","825","38040","34550"
"In post","2022","Declared disabled","Digital, Data & Technology","Male","1130","1100","39920","36050"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Female","655","590","36340","32440"
"In post","2022","Declared disabled","Finance","Male","485","460","39330","35310"
"In post","2022","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","Female","115","100","25410","21300"
"In post","2022","Declared disabled","Grants Management","Male","65","65","25350","21300"
"In post","2022","Declared disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Female","1110","1035","38110","33680"
"In post","2022","Declared disabled","Human Resources","Male","490","475","38150","33370"
"In post","2022","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
