"Status","Year","Ethnicity","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","35","35","38080","33300"
"In post","2022","Asian","Commercial","Greater Manchester","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Inner London - East","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Inner London - West","95","90","42070","40050"
"In post","2022","Asian","Commercial","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Outer London - South","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","Outer London - West and North West","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Shropshire and Staffordshire","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","South Yorkshire","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
