"Status","Year","Age","Ethnicity","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Female","Heterosexual / straight","40","40","23540","23850"
"In post","2022","16-19","Asian","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Male","Heterosexual / straight","55","50","22580","21260"
"In post","2022","16-19","Asian","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Black","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Mixed","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Mixed","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Male","Unknown","[c]","[c]","[c]","[c]"
