"Status","Year","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Outside London","15","15","47820","36710"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","180","175","38740","36970"
"In post","2022","Commercial","Cheshire","Outside London","25","25","41710","38940"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Cumbria","Outside London","20","20","39670","35900"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Outside London","90","85","42150","39010"
"In post","2022","Commercial","Devon","Outside London","235","225","43350","43280"
"In post","2022","Commercial","Dorset and Somerset","Outside London","130","125","41130","42220"
"In post","2022","Commercial","East Anglia","Outside London","185","175","37940","36820"
"In post","2022","Commercial","East Wales","Outside London","170","165","37480","32890"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","10","10","36670","34800"
"In post","2022","Commercial","Eastern Scotland","Outside London","105","100","34560","29550"
"In post","2022","Commercial","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","1490","1430","38990","37400"
"In post","2022","Commercial","Greater Manchester","Outside London","240","235","39180","36630"
"In post","2022","Commercial","Hampshire and Isle of Wight","Outside London","245","235","36150","34800"
"In post","2022","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","15","15","40770","36910"
"In post","2022","Commercial","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","London","100","100","46370","44420"
"In post","2022","Commercial","Inner London - West","London","815","795","47790","42470"
"In post","2022","Commercial","Kent","Outside London","15","15","42540","37460"
"In post","2022","Commercial","Lancashire","Outside London","65","60","37070","32170"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","20","20","43970","38150"
"In post","2022","Commercial","Lincolnshire","Outside London","15","15","39820","38550"
"In post","2022","Commercial","Merseyside","Outside London","275","265","34950","31990"
"In post","2022","Commercial","North Eastern Scotland","Outside London","10","5","[c]","[c]"
"In post","2022","Commercial","North Yorkshire","Outside London","55","55","38290","37350"
"In post","2022","Commercial","Northern Ireland","Outside London","10","10","31730","30960"
"In post","2022","Commercial","Northumberland, and Tyne and Wear","Outside London","85","80","37520","36320"
"In post","2022","Commercial","Outer London - East and North East","London","10","10","[c]","[c]"
"In post","2022","Commercial","Outer London - South","London","115","110","43200","41950"
"In post","2022","Commercial","Outer London - West and North West","London","65","60","36850","32090"
"In post","2022","Commercial","Overseas","Overseas","40","40","48740","42130"
"In post","2022","Commercial","Shropshire and Staffordshire","Outside London","120","115","38280","33370"
"In post","2022","Commercial","South Yorkshire","Outside London","255","240","35610","33650"
"In post","2022","Commercial","Southern Scotland","Outside London","50","50","39680","39630"
"In post","2022","Commercial","Surrey, East and West Sussex","Outside London","35","35","42780","39330"
"In post","2022","Commercial","Tees Valley and Durham","Outside London","95","95","38780","36500"
"In post","2022","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Central Scotland","Outside London","130","130","33930","33000"
"In post","2022","Commercial","West Midlands","Outside London","150","145","37940","36500"
"In post","2022","Commercial","West Wales and The Valleys","Outside London","200","185","33260","31040"
"In post","2022","Commercial","West Yorkshire","Outside London","310","295","41510","36820"
"In post","2022","Communications","Bedfordshire and Hertfordshire","Outside London","20","20","35780","33200"
"In post","2022","Communications","Berkshire, Buckinghamshire and Oxfordshire","Outside London","85","80","34150","33000"
"In post","2022","Communications","Cheshire","Outside London","15","15","37680","36860"
"In post","2022","Communications","Cornwall and Isles of Scilly","Outside London","15","10","23600","21380"
"In post","2022","Communications","Cumbria","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Derbyshire and Nottinghamshire","Outside London","75","75","40000","40350"
"In post","2022","Communications","Devon","Outside London","45","45","39060","37420"
"In post","2022","Communications","Dorset and Somerset","Outside London","50","50","36010","33290"
"In post","2022","Communications","East Anglia","Outside London","55","50","33290","31170"
"In post","2022","Communications","East Wales","Outside London","275","260","39920","38160"
"In post","2022","Communications","East Yorkshire and Northern Lincolnshire","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Eastern Scotland","Outside London","45","45","40220","37710"
"In post","2022","Communications","Essex","Outside London","10","10","[c]","[c]"
"In post","2022","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","195","180","36640","34860"
"In post","2022","Communications","Greater Manchester","Outside London","105","105","34860","30450"
"In post","2022","Communications","Hampshire and Isle of Wight","Outside London","170","165","34060","33000"
"In post","2022","Communications","Herefordshire, Worcestershire and Warwickshire","Outside London","15","15","38610","36960"
"In post","2022","Communications","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Inner London - East","London","245","235","47220","41550"
"In post","2022","Communications","Inner London - West","London","1885","1840","47000","43400"
"In post","2022","Communications","Kent","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Lancashire","Outside London","30","30","34650","33300"
"In post","2022","Communications","Leicestershire, Rutland and Northamptonshire","Outside London","10","10","[c]","[c]"
