"Status","Year","Disability","Function_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AO","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AO","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","EO","Female","40","35","26880","26380"
"In post","2022","Declared disabled","Analysis","EO","Male","40","40","27630","27680"
"In post","2022","Declared disabled","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","G6","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","G6","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","G7","Female","75","65","55380","54110"
"In post","2022","Declared disabled","Analysis","G7","Male","60","60","55470","55210"
"In post","2022","Declared disabled","Analysis","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","HEO","Female","115","110","32820","32790"
"In post","2022","Declared disabled","Analysis","HEO","Male","105","100","33750","33370"
"In post","2022","Declared disabled","Analysis","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SEO","Female","105","95","39940","39100"
"In post","2022","Declared disabled","Analysis","SEO","Male","85","80","40990","40520"
"In post","2022","Declared disabled","Analysis","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AO","Female","10","10","[c]","[c]"
