"Status","Year","Disability","Function_of_post","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","London","15","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Education","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","East of England","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Transport","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","London","35","30","48150","42670"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","North East (England)","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","North West (England)","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department for Work and Pensions","Yorkshire and The Humber","30","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Department of Health and Social Care","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Estyn","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Food Standards Agency","South East (England)","[c]","[c]","[c]","[c]"
