"Status","Year","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","London","Female","57165","54130","42480","37420"
"In post","2022","London","Male","47655","46820","45540","40120"
"In post","2022","London","Unknown","5","5","[c]","[c]"
"In post","2022","Outside London","Female","218355","196585","30690","27570"
"In post","2022","Outside London","Male","179885","173635","33260","29200"
"In post","2022","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Overseas","Female","1510","1495","48980","46600"
"In post","2022","Overseas","Male","2175","2170","49750","49370"
"In post","2022","Unknown","Female","1025","970","33060","30150"
"In post","2022","Unknown","Male","2285","2265","37250","32900"
"Leaver CS","2022","London","Female","5330","[c]","39700","32690"
"Leaver CS","2022","London","Male","4310","[c]","43790","36660"
"Leaver CS","2022","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outside London","Female","17410","[c]","29250","26670"
"Leaver CS","2022","Outside London","Male","15790","[c]","31980","27570"
"Leaver CS","2022","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Female","60","[c]","42810","40830"
"Leaver CS","2022","Overseas","Male","80","[c]","52240","46600"
"Leaver CS","2022","Unknown","Female","620","[c]","27360","21840"
"Leaver CS","2022","Unknown","Male","610","[c]","34420","30730"
"Leaver Dept.","2022","London","Female","6080","[c]","42960","37190"
"Leaver Dept.","2022","London","Male","4195","[c]","45510","40070"
"Leaver Dept.","2022","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Outside London","Female","7430","[c]","33660","28200"
"Leaver Dept.","2022","Outside London","Male","5155","[c]","35660","29290"
"Leaver Dept.","2022","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","425","[c]","36370","32000"
"Leaver Dept.","2022","Unknown","Male","320","[c]","38570","32000"
"New entrant CS","2022","London","Female","7980","[c]","35460","31060"
"New entrant CS","2022","London","Male","5780","[c]","37480","32560"
"New entrant CS","2022","Outside London","Female","30935","[c]","27380","24800"
"New entrant CS","2022","Outside London","Male","23770","[c]","28780","26140"
"New entrant CS","2022","Outside London","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","Female","30","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","Male","25","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","475","[c]","29730","28000"
"New entrant CS","2022","Unknown","Male","400","[c]","29200","27270"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
