"Status","Year","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","London","Heterosexual / straight","68720","66150","44110","38750"
"In post","2022","London","LGBO","5600","5505","45280","40600"
"In post","2022","London","Undeclared","9740","9320","44010","39600"
"In post","2022","London","Unknown","20770","19980","42650","36650"
"In post","2022","Outside London","Heterosexual / straight","267165","248975","32210","27570"
"In post","2022","Outside London","LGBO","16190","15675","31160","27570"
"In post","2022","Outside London","Undeclared","33035","30350","32270","27570"
"In post","2022","Outside London","Unknown","81860","75235","30630","27360"
"In post","2022","Overseas","Heterosexual / straight","2495","2480","49420","47870"
"In post","2022","Overseas","LGBO","180","180","50930","52430"
"In post","2022","Overseas","Undeclared","355","350","46660","41960"
"In post","2022","Overseas","Unknown","660","655","50450","51500"
"In post","2022","Unknown","Heterosexual / straight","865","820","34210","30650"
"In post","2022","Unknown","LGBO","70","70","34170","30130"
"In post","2022","Unknown","Undeclared","120","110","33580","29290"
"In post","2022","Unknown","Unknown","2255","2230","36800","32700"
"Leaver CS","2022","London","Heterosexual / straight","5195","[c]","41580","34630"
"Leaver CS","2022","London","LGBO","505","[c]","40030","34020"
"Leaver CS","2022","London","Undeclared","1055","[c]","41180","35070"
"Leaver CS","2022","London","Unknown","2885","[c]","41790","34020"
"Leaver CS","2022","Outside London","Heterosexual / straight","18465","[c]","30790","27570"
"Leaver CS","2022","Outside London","LGBO","1320","[c]","28820","26610"
"Leaver CS","2022","Outside London","Undeclared","2345","[c]","31510","27570"
"Leaver CS","2022","Outside London","Unknown","11075","[c]","29800","26130"
"Leaver CS","2022","Overseas","Heterosexual / straight","75","[c]","48480","43880"
"Leaver CS","2022","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Unknown","55","[c]","46190","41600"
"Leaver CS","2022","Unknown","Heterosexual / straight","390","[c]","29260","21840"
"Leaver CS","2022","Unknown","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","175","[c]","25550","21840"
"Leaver CS","2022","Unknown","Unknown","635","[c]","34890","30780"
"Leaver Dept.","2022","London","Heterosexual / straight","5820","[c]","43790","39600"
"Leaver Dept.","2022","London","LGBO","635","[c]","42250","36970"
"Leaver Dept.","2022","London","Undeclared","1340","[c]","44780","40070"
"Leaver Dept.","2022","London","Unknown","2480","[c]","44710","36980"
"Leaver Dept.","2022","Outside London","Heterosexual / straight","7875","[c]","33930","28050"
"Leaver Dept.","2022","Outside London","LGBO","615","[c]","32450","27570"
"Leaver Dept.","2022","Outside London","Undeclared","1170","[c]","36580","30460"
"Leaver Dept.","2022","Outside London","Unknown","2925","[c]","36310","30730"
"Leaver Dept.","2022","Overseas","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","290","[c]","38360","33250"
"Leaver Dept.","2022","Unknown","LGBO","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Undeclared","205","[c]","35740","33210"
"Leaver Dept.","2022","Unknown","Unknown","210","[c]","36090","32000"
"New entrant CS","2022","London","Heterosexual / straight","7460","[c]","36560","32330"
"New entrant CS","2022","London","LGBO","895","[c]","36110","32790"
"New entrant CS","2022","London","Undeclared","1085","[c]","36970","32790"
"New entrant CS","2022","London","Unknown","4320","[c]","35750","30750"
