"Status","Year","Age","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Operational Delivery","Female","20","20","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Unknown","Female","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Unknown","Male","10","10","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Policy","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
