"Status","Year","Disability","Parent_department","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Counter Fraud","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","North West (England)","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Internal Audit","South West (England)","[c]","[c]","[c]","[c]"
