"Status","Year","Ethnicity","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Heterosexual / straight","35","30","50600","44070"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Heterosexual / straight","50","45","27040","22140"
"In post","2022","Asian","Angus and Dundee City","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Angus and Dundee City","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Armagh City, Banbridge and Craigavon","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","Heterosexual / straight","140","130","31180","31060"
"In post","2022","Asian","Barking & Dagenham and Havering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","Undeclared","10","5","[c]","[c]"
"In post","2022","Asian","Barking & Dagenham and Havering","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Barnet","Heterosexual / straight","355","325","36800","32090"
"In post","2022","Asian","Barnet","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Barnet","Undeclared","35","30","36150","31880"
"In post","2022","Asian","Barnet","Unknown","65","60","47590","38930"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Barnsley, Doncaster and Rotherham","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","355","345","35680","33200"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Bedford","Heterosexual / straight","75","70","28140","27570"
"In post","2022","Asian","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedford","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedford","Unknown","10","5","[c]","[c]"
"In post","2022","Asian","Belfast","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Belfast","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Belfast","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Belfast","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire","Heterosexual / straight","260","240","30940","29290"
"In post","2022","Asian","Berkshire","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Berkshire","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Berkshire","Unknown","35","30","29420","29290"
"In post","2022","Asian","Bexley and Greenwich","Heterosexual / straight","95","85","31540","31060"
"In post","2022","Asian","Bexley and Greenwich","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bexley and Greenwich","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Bexley and Greenwich","Unknown","10","5","[c]","[c]"
"In post","2022","Asian","Birmingham","Heterosexual / straight","2500","2365","28530","26700"
"In post","2022","Asian","Birmingham","LGBO","50","45","28430","26740"
"In post","2022","Asian","Birmingham","Undeclared","145","135","25910","25120"
"In post","2022","Asian","Birmingham","Unknown","340","300","27900","26820"
"In post","2022","Asian","Blackburn with Darwen","Heterosexual / straight","105","90","26420","27570"
"In post","2022","Asian","Blackburn with Darwen","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Blackburn with Darwen","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Blackburn with Darwen","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Blackpool","Heterosexual / straight","115","110","29740","27570"
"In post","2022","Asian","Blackpool","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Blackpool","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Blackpool","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bournemouth, Christchurch and Poole","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bradford","Heterosexual / straight","645","585","24920","21260"
"In post","2022","Asian","Bradford","LGBO","25","20","[c]","[c]"
"In post","2022","Asian","Bradford","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","Bradford","Unknown","140","115","23870","21260"
"In post","2022","Asian","Breckland and South Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Breckland and South Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Breckland and South Norfolk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brent","Heterosexual / straight","110","100","31380","31060"
"In post","2022","Asian","Brent","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brent","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Brent","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Bridgend and Neath Port Talbot","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bridgend and Neath Port Talbot","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bridgend and Neath Port Talbot","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Brighton and Hove","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bristol, City of","Heterosexual / straight","175","165","34290","29360"
"In post","2022","Asian","Bristol, City of","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Bristol, City of","Undeclared","10","5","[c]","[c]"
"In post","2022","Asian","Bristol, City of","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Bromley","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Bromley","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bromley","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bromley","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Buckinghamshire","Heterosexual / straight","90","80","31620","28140"
"In post","2022","Asian","Buckinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Buckinghamshire","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Buckinghamshire","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Caithness and Sutherland, and Ross and Cromarty","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Caithness and Sutherland, and Ross and Cromarty","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Caithness and Sutherland, and Ross and Cromarty","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Caithness and Sutherland, and Ross and Cromarty","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Calderdale and Kirklees","Heterosexual / straight","145","140","26700","27570"
"In post","2022","Asian","Calderdale and Kirklees","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Calderdale and Kirklees","Undeclared","10","5","[c]","[c]"
"In post","2022","Asian","Calderdale and Kirklees","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Cambridgeshire CC","Heterosexual / straight","75","75","33370","27900"
"In post","2022","Asian","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cambridgeshire CC","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Camden and City of London","Heterosexual / straight","280","270","32420","28810"
"In post","2022","Asian","Camden and City of London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Camden and City of London","Undeclared","20","15","[c]","[c]"
"In post","2022","Asian","Camden and City of London","Unknown","40","40","44690","39710"
"In post","2022","Asian","Cardiff and Vale of Glamorgan","Heterosexual / straight","255","245","31710","26820"
