"Status","Year","Ethnicity","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","AA","Female","Heterosexual / straight","235","195","21010","21250"
"In post","2022","Asian","AA","Female","LGBO","10","5","[c]","[c]"
"In post","2022","Asian","AA","Female","Undeclared","40","30","21080","21250"
"In post","2022","Asian","AA","Female","Unknown","25","15","[c]","[c]"
"In post","2022","Asian","AA","Male","Heterosexual / straight","300","285","21170","21050"
"In post","2022","Asian","AA","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","AA","Male","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","AA","Male","Unknown","30","30","21690","21250"
"In post","2022","Asian","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","AA","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","AA","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","AO","Female","Heterosexual / straight","3475","2955","22580","21300"
"In post","2022","Asian","AO","Female","LGBO","95","80","23420","21680"
"In post","2022","Asian","AO","Female","Undeclared","370","305","22910","21680"
"In post","2022","Asian","AO","Female","Unknown","630","480","22510","21260"
"In post","2022","Asian","AO","Male","Heterosexual / straight","2700","2575","23090","21260"
"In post","2022","Asian","AO","Male","LGBO","75","70","23090","21260"
"In post","2022","Asian","AO","Male","Undeclared","175","165","22820","21260"
"In post","2022","Asian","AO","Male","Unknown","325","300","22720","21260"
"In post","2022","Asian","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","EO","Female","Heterosexual / straight","4955","4535","28410","27570"
"In post","2022","Asian","EO","Female","LGBO","105","95","28400","27570"
"In post","2022","Asian","EO","Female","Undeclared","385","340","28620","28650"
"In post","2022","Asian","EO","Female","Unknown","665","560","28690","27570"
"In post","2022","Asian","EO","Male","Heterosexual / straight","4025","3950","28190","27570"
"In post","2022","Asian","EO","Male","LGBO","100","95","28050","27570"
"In post","2022","Asian","EO","Male","Undeclared","200","190","28490","27570"
"In post","2022","Asian","EO","Male","Unknown","385","370","28380","27570"
"In post","2022","Asian","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G6","Female","Heterosexual / straight","390","375","68450","66640"
"In post","2022","Asian","G6","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","G6","Female","Undeclared","25","20","[c]","[c]"
"In post","2022","Asian","G6","Female","Unknown","35","35","70240","67390"
"In post","2022","Asian","G6","Male","Heterosexual / straight","325","320","70010","67910"
"In post","2022","Asian","G6","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","G6","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","G6","Male","Unknown","35","35","72930","68570"
"In post","2022","Asian","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G6","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G6","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G7","Female","Heterosexual / straight","1375","1335","55410","54400"
"In post","2022","Asian","G7","Female","LGBO","25","25","[c]","[c]"
"In post","2022","Asian","G7","Female","Undeclared","85","80","55200","54700"
"In post","2022","Asian","G7","Female","Unknown","120","105","56460","55130"
"In post","2022","Asian","G7","Male","Heterosexual / straight","1140","1130","56430","55210"
"In post","2022","Asian","G7","Male","LGBO","60","60","55920","54700"
"In post","2022","Asian","G7","Male","Undeclared","55","55","57030","56180"
"In post","2022","Asian","G7","Male","Unknown","125","120","56310","55210"
"In post","2022","Asian","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HEO","Female","Heterosexual / straight","2635","2540","34260","34020"
"In post","2022","Asian","HEO","Female","LGBO","45","45","33790","33570"
"In post","2022","Asian","HEO","Female","Undeclared","145","140","34490","34260"
"In post","2022","Asian","HEO","Female","Unknown","235","225","35180","34260"
"In post","2022","Asian","HEO","Male","Heterosexual / straight","2325","2275","34340","33370"
"In post","2022","Asian","HEO","Male","LGBO","70","65","34920","34330"
"In post","2022","Asian","HEO","Male","Undeclared","130","125","34840","34070"
"In post","2022","Asian","HEO","Male","Unknown","205","205","35060","33370"
"In post","2022","Asian","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SCS level","Female","Heterosexual / straight","145","135","89600","81800"
"In post","2022","Asian","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SCS level","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","SCS level","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","SCS level","Male","Heterosexual / straight","130","125","92220","90000"
"In post","2022","Asian","SCS level","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SEO","Female","Heterosexual / straight","1585","1535","41670","41140"
"In post","2022","Asian","SEO","Female","LGBO","35","30","40880","40600"
"In post","2022","Asian","SEO","Female","Undeclared","105","100","41780","41260"
"In post","2022","Asian","SEO","Female","Unknown","140","135","41540","40870"
"In post","2022","Asian","SEO","Male","Heterosexual / straight","1420","1415","42600","41750"
"In post","2022","Asian","SEO","Male","LGBO","50","50","42460","41760"
