"Status","Year","Disability","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Female","Heterosexual / straight","25000","22370","31670","27570"
"In post","2022","Declared disabled","Female","LGBO","2610","2495","32410","28650"
"In post","2022","Declared disabled","Female","Undeclared","3195","2805","30860","27570"
"In post","2022","Declared disabled","Female","Unknown","2065","1745","29580","27570"
"In post","2022","Declared disabled","Male","Heterosexual / straight","15655","14935","33590","29290"
"In post","2022","Declared disabled","Male","LGBO","2265","2200","34340","30000"
"In post","2022","Declared disabled","Male","Undeclared","2355","2230","33370","29290"
"In post","2022","Declared disabled","Male","Unknown","1470","1360","32040","28200"
"In post","2022","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Female","Heterosexual / straight","146995","134350","33760","28920"
"In post","2022","Declared non-disabled","Female","LGBO","7070","6825","33560","29290"
"In post","2022","Declared non-disabled","Female","Undeclared","12850","11465","32600","27570"
"In post","2022","Declared non-disabled","Female","Unknown","18485","15595","30550","27570"
"In post","2022","Declared non-disabled","Male","Heterosexual / straight","117625","114580","36500","31920"
"In post","2022","Declared non-disabled","Male","LGBO","7470","7335","37190","31990"
"In post","2022","Declared non-disabled","Male","Undeclared","10375","9935","36490","31990"
"In post","2022","Declared non-disabled","Male","Unknown","13820","13150","35410","31060"
"In post","2022","Declared non-disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Heterosexual / straight","6490","5920","31990","27570"
"In post","2022","Undeclared","Female","LGBO","590","570","32250","28210"
"In post","2022","Undeclared","Female","Undeclared","4175","3795","33750","30370"
"In post","2022","Undeclared","Female","Unknown","1350","1160","29970","27570"
"In post","2022","Undeclared","Male","Heterosexual / straight","6085","5855","34210","31650"
"In post","2022","Undeclared","Male","LGBO","545","535","35020","31550"
"In post","2022","Undeclared","Male","Undeclared","6355","6120","36980","33370"
"In post","2022","Undeclared","Male","Unknown","1900","1735","32620","31650"
"In post","2022","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Heterosexual / straight","11115","10395","36560","32860"
"In post","2022","Unknown","Female","LGBO","735","720","34980","32120"
"In post","2022","Unknown","Female","Undeclared","2075","1955","40980","36660"
"In post","2022","Unknown","Female","Unknown","33260","31005","32810","27860"
"In post","2022","Unknown","Male","Heterosexual / straight","10270","10000","38260","35000"
"In post","2022","Unknown","Male","LGBO","760","750","37460","33370"
"In post","2022","Unknown","Male","Undeclared","1860","1820","42560","39070"
"In post","2022","Unknown","Male","Unknown","33195","32350","34730","30460"
"In post","2022","Unknown","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","Heterosexual / straight","1695","[c]","29710","27570"
"Leaver CS","2022","Declared disabled","Female","LGBO","245","[c]","28120","27570"
"Leaver CS","2022","Declared disabled","Female","Undeclared","245","[c]","27790","26780"
"Leaver CS","2022","Declared disabled","Female","Unknown","360","[c]","29440","26240"
"Leaver CS","2022","Declared disabled","Male","Heterosexual / straight","1235","[c]","31030","27570"
"Leaver CS","2022","Declared disabled","Male","LGBO","195","[c]","33240","27570"
"Leaver CS","2022","Declared disabled","Male","Undeclared","190","[c]","32970","27570"
"Leaver CS","2022","Declared disabled","Male","Unknown","305","[c]","33700","30010"
