"Status","Year","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","No function","SCS level","3330","3200","89830","81050"
"In post","2022","No function","SEO","20540","19735","42330","40520"
"In post","2022","No function","Unknown","19195","17775","30100","28200"
"In post","2022","Project Delivery","AA","10","10","19970","19850"
"In post","2022","Project Delivery","AO","625","540","22060","21260"
"In post","2022","Project Delivery","EO","3440","3250","24860","25750"
"In post","2022","Project Delivery","G6","2100","2040","68160","67860"
"In post","2022","Project Delivery","G7","5140","5000","53950","54540"
"In post","2022","Project Delivery","HEO","6265","5990","32460","33040"
"In post","2022","Project Delivery","SCS level","595","580","92460","83920"
"In post","2022","Project Delivery","SEO","6780","6535","40660","40520"
"In post","2022","Project Delivery","Unknown","1610","1575","41060","39850"
"In post","2022","Property","AA","595","575","18590","17480"
"In post","2022","Property","AO","1235","1145","22890","22010"
"In post","2022","Property","EO","1915","1810","26770","26670"
"In post","2022","Property","G6","520","510","66510","65370"
"In post","2022","Property","G7","1215","1185","54970","54540"
"In post","2022","Property","HEO","2115","2045","33440","33300"
"In post","2022","Property","SCS level","115","115","92470","87080"
"In post","2022","Property","SEO","1785","1710","42510","42090"
"In post","2022","Property","Unknown","45","45","22430","21600"
"In post","2022","Security","AA","2475","2410","20730","19810"
"In post","2022","Security","AO","3175","3100","31770","30890"
"In post","2022","Security","EO","1510","1465","31750","28590"
"In post","2022","Security","G6","140","140","68770","67380"
"In post","2022","Security","G7","465","455","56440","55210"
"In post","2022","Security","HEO","1725","1680","35820","33860"
"In post","2022","Security","SCS level","65","65","88630","78860"
"In post","2022","Security","SEO","945","930","44410","42890"
"In post","2022","Security","Unknown","185","185","32770","31370"
"In post","2022","Unknown","AA","4325","4040","20580","19810"
"In post","2022","Unknown","AO","14705","13595","22670","21680"
"In post","2022","Unknown","EO","23070","21640","27490","27230"
"In post","2022","Unknown","G6","3145","3005","72090","70480"
"In post","2022","Unknown","G7","7035","6805","57690","57460"
"In post","2022","Unknown","HEO","14030","13525","34490","34170"
"In post","2022","Unknown","SCS level","1015","980","89540","83230"
"In post","2022","Unknown","SEO","10270","9950","43050","41980"
"In post","2022","Unknown","Unknown","2065","2055","37420","34160"
"Leaver CS","2022","Analysis","AA","5","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","AO","125","[c]","21520","21250"
"Leaver CS","2022","Analysis","EO","60","[c]","26790","25750"
"Leaver CS","2022","Analysis","G6","35","[c]","77350","73110"
"Leaver CS","2022","Analysis","G7","80","[c]","55510","54210"
"Leaver CS","2022","Analysis","HEO","150","[c]","33240","32930"
"Leaver CS","2022","Analysis","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","SEO","75","[c]","40810","39780"
"Leaver CS","2022","Commercial","AA","5","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AO","20","[c]","21430","21400"
"Leaver CS","2022","Commercial","EO","60","[c]","25860","26120"
"Leaver CS","2022","Commercial","G6","55","[c]","78530","77540"
"Leaver CS","2022","Commercial","G7","125","[c]","60430","59650"
"Leaver CS","2022","Commercial","HEO","80","[c]","33380","33380"
"Leaver CS","2022","Commercial","SCS level","35","[c]","131430","126880"
"Leaver CS","2022","Commercial","SEO","130","[c]","40840","40580"
"Leaver CS","2022","Commercial","Unknown","10","[c]","44710","42870"
"Leaver CS","2022","Communications","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AO","30","[c]","21570","21300"
"Leaver CS","2022","Communications","EO","80","[c]","27290","26930"
"Leaver CS","2022","Communications","G6","30","[c]","67830","66250"
"Leaver CS","2022","Communications","G7","50","[c]","55780","54700"
"Leaver CS","2022","Communications","HEO","110","[c]","34880","34550"
"Leaver CS","2022","Communications","SCS level","15","[c]","90530","88320"
"Leaver CS","2022","Communications","SEO","95","[c]","41960","40600"
"Leaver CS","2022","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","AO","95","[c]","21760","21260"
"Leaver CS","2022","Counter Fraud","EO","155","[c]","27860","27570"
"Leaver CS","2022","Counter Fraud","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","G7","10","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","HEO","50","[c]","34960","34290"
"Leaver CS","2022","Counter Fraud","SEO","25","[c]","41360","40670"
"Leaver CS","2022","Debt","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","AO","195","[c]","21360","21260"
"Leaver CS","2022","Debt","EO","25","[c]","27770","27570"
"Leaver CS","2022","Debt","HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","AA","25","[c]","18740","17900"
"Leaver CS","2022","Digital, Data & Technology","AO","90","[c]","21680","21260"
"Leaver CS","2022","Digital, Data & Technology","EO","230","[c]","27350","26990"
"Leaver CS","2022","Digital, Data & Technology","G6","90","[c]","69110","68700"
"Leaver CS","2022","Digital, Data & Technology","G7","300","[c]","55330","54700"
"Leaver CS","2022","Digital, Data & Technology","HEO","310","[c]","33990","33390"
"Leaver CS","2022","Digital, Data & Technology","SCS level","30","[c]","99270","99540"
"Leaver CS","2022","Digital, Data & Technology","SEO","320","[c]","41610","40580"
"Leaver CS","2022","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","AA","10","[c]","[c]","[c]"
"Leaver CS","2022","Finance","AO","65","[c]","22180","21830"
"Leaver CS","2022","Finance","EO","95","[c]","26800","26670"
"Leaver CS","2022","Finance","G6","30","[c]","68680","68340"
"Leaver CS","2022","Finance","G7","75","[c]","53980","53430"
"Leaver CS","2022","Finance","HEO","105","[c]","34490","33840"
"Leaver CS","2022","Finance","SCS level","20","[c]","89570","92690"
"Leaver CS","2022","Finance","SEO","105","[c]","42430","41750"
"Leaver CS","2022","Finance","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","AO","90","[c]","21180","21300"
"Leaver CS","2022","Grants Management","EO","45","[c]","25610","25830"
"Leaver CS","2022","Grants Management","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","HEO","15","[c]","31210","31900"
"Leaver CS","2022","Grants Management","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","AA","10","[c]","19830","19680"
"Leaver CS","2022","Human Resources","AO","125","[c]","21730","21170"
"Leaver CS","2022","Human Resources","EO","175","[c]","26720","27500"
"Leaver CS","2022","Human Resources","G6","30","[c]","67270","66000"
"Leaver CS","2022","Human Resources","G7","65","[c]","53880","54110"
"Leaver CS","2022","Human Resources","HEO","125","[c]","33340","33350"
"Leaver CS","2022","Human Resources","SCS level","15","[c]","88310","81600"
"Leaver CS","2022","Human Resources","SEO","115","[c]","41720","40580"
"Leaver CS","2022","Internal Audit","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","HEO","15","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SEO","25","[c]","[c]","[c]"
"Leaver CS","2022","Legal","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","AO","140","[c]","22180","22200"
"Leaver CS","2022","Legal","EO","100","[c]","28160","27350"
"Leaver CS","2022","Legal","G6","75","[c]","70130","69470"
"Leaver CS","2022","Legal","G7","270","[c]","55880","55000"
"Leaver CS","2022","Legal","HEO","70","[c]","36830","38000"
"Leaver CS","2022","Legal","SCS level","35","[c]","95790","93000"
"Leaver CS","2022","Legal","SEO","50","[c]","45510","41750"
"Leaver CS","2022","No function","AA","1775","[c]","18940","18580"
"Leaver CS","2022","No function","AO","8725","[c]","21550","21260"
"Leaver CS","2022","No function","EO","6235","[c]","27890","27570"
"Leaver CS","2022","No function","G6","480","[c]","69650","66900"
"Leaver CS","2022","No function","G7","1290","[c]","55390","53780"
"Leaver CS","2022","No function","HEO","2125","[c]","32900","32570"
"Leaver CS","2022","No function","SCS level","370","[c]","96570","93370"
"Leaver CS","2022","No function","SEO","1640","[c]","41620","40470"
"Leaver CS","2022","No function","Unknown","1815","[c]","34570","29600"
"Leaver CS","2022","Project Delivery","AA","5","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","AO","50","[c]","21770","21260"
"Leaver CS","2022","Project Delivery","EO","230","[c]","23250","23220"
"Leaver CS","2022","Project Delivery","G6","100","[c]","68150","67770"
"Leaver CS","2022","Project Delivery","G7","165","[c]","54490","54540"
"Leaver CS","2022","Project Delivery","HEO","310","[c]","32030","32520"
"Leaver CS","2022","Project Delivery","SCS level","30","[c]","100400","96330"
"Leaver CS","2022","Project Delivery","SEO","290","[c]","41060","40580"
"Leaver CS","2022","Project Delivery","Unknown","120","[c]","37180","35650"
"Leaver CS","2022","Property","AA","105","[c]","19510","19010"
"Leaver CS","2022","Property","AO","140","[c]","22180","22010"
"Leaver CS","2022","Property","EO","95","[c]","25850","26030"
"Leaver CS","2022","Property","G6","20","[c]","66710","65340"
"Leaver CS","2022","Property","G7","50","[c]","56250","54700"
"Leaver CS","2022","Property","HEO","90","[c]","34330","33300"
"Leaver CS","2022","Property","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","Property","SEO","100","[c]","43190","43580"
"Leaver CS","2022","Security","AA","180","[c]","21180","19810"
"Leaver CS","2022","Security","AO","345","[c]","32260","39070"
"Leaver CS","2022","Security","EO","120","[c]","32710","29200"
"Leaver CS","2022","Security","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","Security","G7","15","[c]","60630","57440"
"Leaver CS","2022","Security","HEO","95","[c]","37610","34290"
"Leaver CS","2022","Security","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","SEO","40","[c]","44980","40820"
"Leaver CS","2022","Security","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA","640","[c]","20370","19810"
"Leaver CS","2022","Unknown","AO","4395","[c]","22120","21380"
"Leaver CS","2022","Unknown","EO","2885","[c]","27900","27570"
"Leaver CS","2022","Unknown","G6","310","[c]","72310","73510"
"Leaver CS","2022","Unknown","G7","530","[c]","58290","57540"
"Leaver CS","2022","Unknown","HEO","1415","[c]","35330","35050"
"Leaver CS","2022","Unknown","SCS level","140","[c]","97710","93350"
"Leaver CS","2022","Unknown","SEO","785","[c]","43290","42410"
"Leaver CS","2022","Unknown","Unknown","360","[c]","36620","33270"
"Leaver Dept.","2022","Analysis","AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Analysis","EO","30","[c]","26630","25880"
"Leaver Dept.","2022","Analysis","G6","70","[c]","69090","70010"
"Leaver Dept.","2022","Analysis","G7","130","[c]","54510","53490"
"Leaver Dept.","2022","Analysis","HEO","190","[c]","32790","33000"
"Leaver Dept.","2022","Analysis","SCS level","10","[c]","86480","77060"
"Leaver Dept.","2022","Analysis","SEO","100","[c]","41830","42220"
"Leaver Dept.","2022","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","AO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","EO","40","[c]","26370","26670"
"Leaver Dept.","2022","Commercial","G6","35","[c]","69440","68150"
"Leaver Dept.","2022","Commercial","G7","90","[c]","53760","53800"
"Leaver Dept.","2022","Commercial","HEO","95","[c]","32580","33000"
"Leaver Dept.","2022","Commercial","SCS level","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","SEO","155","[c]","40440","40580"
"Leaver Dept.","2022","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","AA","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","AO","15","[c]","23500","24490"
"Leaver Dept.","2022","Communications","EO","65","[c]","27850","27510"
"Leaver Dept.","2022","Communications","G6","55","[c]","69270","67180"
"Leaver Dept.","2022","Communications","G7","90","[c]","54940","54890"
"Leaver Dept.","2022","Communications","HEO","130","[c]","34200","33950"
"Leaver Dept.","2022","Communications","SCS level","20","[c]","95190","88530"
"Leaver Dept.","2022","Communications","SEO","90","[c]","41170","40600"
"Leaver Dept.","2022","Counter Fraud","AO","25","[c]","22060","21260"
"Leaver Dept.","2022","Counter Fraud","EO","65","[c]","27720","27570"
"Leaver Dept.","2022","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","G7","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","HEO","35","[c]","33130","32140"
"Leaver Dept.","2022","Counter Fraud","SEO","15","[c]","41230","40350"
"Leaver Dept.","2022","Debt","AO","45","[c]","21270","21260"
"Leaver Dept.","2022","Debt","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","AO","15","[c]","21780","21170"
"Leaver Dept.","2022","Digital, Data & Technology","EO","95","[c]","27490","27350"
"Leaver Dept.","2022","Digital, Data & Technology","G6","35","[c]","69520","67650"
"Leaver Dept.","2022","Digital, Data & Technology","G7","160","[c]","55050","54700"
"Leaver Dept.","2022","Digital, Data & Technology","HEO","240","[c]","33220","33000"
"Leaver Dept.","2022","Digital, Data & Technology","SCS level","20","[c]","95750","93500"
"Leaver Dept.","2022","Digital, Data & Technology","SEO","215","[c]","39860","39640"
"Leaver Dept.","2022","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","AO","25","[c]","21670","21260"
"Leaver Dept.","2022","Finance","EO","100","[c]","26220","26350"
"Leaver Dept.","2022","Finance","G6","35","[c]","66860","66310"
"Leaver Dept.","2022","Finance","G7","110","[c]","54750","54690"
"Leaver Dept.","2022","Finance","HEO","145","[c]","32840","32170"
"Leaver Dept.","2022","Finance","SCS level","20","[c]","84710","76000"
"Leaver Dept.","2022","Finance","SEO","155","[c]","39810","39960"
"Leaver Dept.","2022","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Grants Management","AO","35","[c]","21120","21300"
"Leaver Dept.","2022","Grants Management","EO","15","[c]","25300","25150"
"Leaver Dept.","2022","Grants Management","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Grants Management","HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Grants Management","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","AA","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","AO","65","[c]","21670","21170"
"Leaver Dept.","2022","Human Resources","EO","200","[c]","27160","27500"
"Leaver Dept.","2022","Human Resources","G6","50","[c]","65460","64990"
"Leaver Dept.","2022","Human Resources","G7","100","[c]","53460","53190"
"Leaver Dept.","2022","Human Resources","HEO","190","[c]","32350","32330"
"Leaver Dept.","2022","Human Resources","SCS level","25","[c]","88010","82410"
"Leaver Dept.","2022","Human Resources","SEO","105","[c]","39820","39960"
"Leaver Dept.","2022","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","G7","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","AO","45","[c]","23250","23720"
"Leaver Dept.","2022","Legal","EO","50","[c]","27010","27010"
"Leaver Dept.","2022","Legal","G6","35","[c]","69150","67290"
"Leaver Dept.","2022","Legal","G7","60","[c]","54850","52690"
"Leaver Dept.","2022","Legal","HEO","20","[c]","32500","31180"
"Leaver Dept.","2022","Legal","SCS level","10","[c]","88190","83870"
"Leaver Dept.","2022","Legal","SEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","AA","235","[c]","19990","19520"
"Leaver Dept.","2022","No function","AO","1850","[c]","21460","21260"
"Leaver Dept.","2022","No function","EO","3400","[c]","27210","27570"
"Leaver Dept.","2022","No function","G6","815","[c]","69350","66320"
"Leaver Dept.","2022","No function","G7","2160","[c]","53380","53380"
"Leaver Dept.","2022","No function","HEO","3365","[c]","32250","32070"
"Leaver Dept.","2022","No function","SCS level","615","[c]","100790","98000"
"Leaver Dept.","2022","No function","SEO","2190","[c]","39940","40070"
"Leaver Dept.","2022","No function","Unknown","150","[c]","39000","36300"
"Leaver Dept.","2022","Project Delivery","AO","15","[c]","22480","22770"
"Leaver Dept.","2022","Project Delivery","EO","125","[c]","24730","25670"
"Leaver Dept.","2022","Project Delivery","G6","45","[c]","66020","66150"
"Leaver Dept.","2022","Project Delivery","G7","115","[c]","52830","53130"
"Leaver Dept.","2022","Project Delivery","HEO","195","[c]","31900","31990"
"Leaver Dept.","2022","Project Delivery","SCS level","20","[c]","95450","91600"
"Leaver Dept.","2022","Project Delivery","SEO","165","[c]","40310","40580"
"Leaver Dept.","2022","Project Delivery","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","AO","30","[c]","21830","22010"
"Leaver Dept.","2022","Property","EO","35","[c]","26440","26620"
"Leaver Dept.","2022","Property","G6","10","[c]","65920","64980"
"Leaver Dept.","2022","Property","G7","20","[c]","53850","53190"
"Leaver Dept.","2022","Property","HEO","35","[c]","32980","33370"
"Leaver Dept.","2022","Property","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","SEO","35","[c]","39930","40070"
"Leaver Dept.","2022","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","AA","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","AO","15","[c]","26160","21170"
"Leaver Dept.","2022","Security","EO","35","[c]","28230","27500"
"Leaver Dept.","2022","Security","G6","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","G7","20","[c]","54500","54700"
"Leaver Dept.","2022","Security","HEO","50","[c]","33950","33300"
"Leaver Dept.","2022","Security","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","SEO","25","[c]","40600","40580"
"Leaver Dept.","2022","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA","20","[c]","20260","19810"
"Leaver Dept.","2022","Unknown","AO","870","[c]","22130","21680"
"Leaver Dept.","2022","Unknown","EO","980","[c]","26750","26050"
"Leaver Dept.","2022","Unknown","G6","150","[c]","68840","68720"
"Leaver Dept.","2022","Unknown","G7","375","[c]","57480","57460"
"Leaver Dept.","2022","Unknown","HEO","690","[c]","33940","34600"
"Leaver Dept.","2022","Unknown","SCS level","80","[c]","90470","81310"
"Leaver Dept.","2022","Unknown","SEO","405","[c]","42140","41970"
"Leaver Dept.","2022","Unknown","Unknown","170","[c]","40430","35200"
"New entrant CS","2022","Analysis","AA","5","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","AO","180","[c]","21830","21260"
"New entrant CS","2022","Analysis","EO","270","[c]","26760","26390"
"New entrant CS","2022","Analysis","G6","35","[c]","71260","69680"
"New entrant CS","2022","Analysis","G7","115","[c]","53560","53320"
"New entrant CS","2022","Analysis","HEO","670","[c]","32240","31750"
"New entrant CS","2022","Analysis","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","SEO","195","[c]","39670","38340"
"New entrant CS","2022","Commercial","AA","10","[c]","19720","18760"
"New entrant CS","2022","Commercial","AO","50","[c]","20950","21170"
"New entrant CS","2022","Commercial","EO","210","[c]","25870","26350"
"New entrant CS","2022","Commercial","G6","45","[c]","80860","84000"
"New entrant CS","2022","Commercial","G7","205","[c]","63350","65000"
"New entrant CS","2022","Commercial","HEO","210","[c]","31720","31800"
"New entrant CS","2022","Commercial","SCS level","20","[c]","133430","125000"
"New entrant CS","2022","Commercial","SEO","220","[c]","39600","39600"
"New entrant CS","2022","Commercial","Unknown","25","[c]","33640","31500"
"New entrant CS","2022","Communications","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","AO","155","[c]","21480","21250"
"New entrant CS","2022","Communications","EO","800","[c]","26680","26590"
"New entrant CS","2022","Communications","G6","25","[c]","67060","66230"
"New entrant CS","2022","Communications","G7","65","[c]","54480","53360"
"New entrant CS","2022","Communications","HEO","330","[c]","33460","33080"
"New entrant CS","2022","Communications","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2022","Communications","SEO","125","[c]","40630","40600"
"New entrant CS","2022","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","AO","535","[c]","22250","21260"
"New entrant CS","2022","Counter Fraud","EO","845","[c]","27660","27570"
"New entrant CS","2022","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","G7","25","[c]","53550","52080"
"New entrant CS","2022","Counter Fraud","HEO","150","[c]","33890","33080"
"New entrant CS","2022","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","SEO","35","[c]","39520","40180"
"New entrant CS","2022","Debt","AO","975","[c]","21290","21250"
"New entrant CS","2022","Debt","EO","45","[c]","26900","26590"
"New entrant CS","2022","Debt","G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Debt","HEO","5","[c]","[c]","[c]"
"New entrant CS","2022","Debt","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","AA","70","[c]","18560","17900"
"New entrant CS","2022","Digital, Data & Technology","AO","205","[c]","21250","21170"
