"Status","Year","Disability","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","25","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","100","95","41440","40650"
"In post","2022","Declared disabled","Commercial","North East (England)","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","75","70","34780","31990"
"In post","2022","Declared disabled","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","40","35","39160","38810"
"In post","2022","Declared disabled","Commercial","South West (England)","165","160","39490","38150"
"In post","2022","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Wales","30","30","32160","30940"
"In post","2022","Declared disabled","Commercial","West Midlands (England)","30","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Yorkshire and The Humber","75","70","36680","33170"
"In post","2022","Declared disabled","Communications","East Midlands (England)","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","East of England","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","130","125","42730","39670"
"In post","2022","Declared disabled","Communications","North East (England)","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","North West (England)","30","25","[c]","[c]"
"In post","2022","Declared disabled","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Scotland","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","South East (England)","35","35","35250","33150"
"In post","2022","Declared disabled","Communications","South West (England)","25","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Wales","30","30","36100","33080"
"In post","2022","Declared disabled","Communications","West Midlands (England)","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Yorkshire and The Humber","15","15","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","East Midlands (England)","50","45","27540","27570"
"In post","2022","Declared disabled","Counter Fraud","East of England","60","55","28690","28100"
"In post","2022","Declared disabled","Counter Fraud","London","150","135","31360","31060"
"In post","2022","Declared disabled","Counter Fraud","North East (England)","90","80","27270","27570"
"In post","2022","Declared disabled","Counter Fraud","North West (England)","115","105","28780","27570"
"In post","2022","Declared disabled","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Scotland","100","90","25800","27570"
"In post","2022","Declared disabled","Counter Fraud","South East (England)","105","90","28970","28490"
"In post","2022","Declared disabled","Counter Fraud","South West (England)","80","70","27000","27570"
"In post","2022","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Wales","75","65","27690","27570"
"In post","2022","Declared disabled","Counter Fraud","West Midlands (England)","85","75","28120","27570"
"In post","2022","Declared disabled","Counter Fraud","Yorkshire and The Humber","85","70","28260","27570"
"In post","2022","Declared disabled","Digital, Data and Technology","East Midlands (England)","40","40","33810","31450"
"In post","2022","Declared disabled","Digital, Data and Technology","East of England","60","55","35370","33300"
"In post","2022","Declared disabled","Digital, Data and Technology","London","305","295","48460","42900"
"In post","2022","Declared disabled","Digital, Data and Technology","North East (England)","185","175","39420","36050"
"In post","2022","Declared disabled","Digital, Data and Technology","North West (England)","290","275","40560","35900"
"In post","2022","Declared disabled","Digital, Data and Technology","Northern Ireland","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Scotland","70","65","35740","33220"
"In post","2022","Declared disabled","Digital, Data and Technology","South East (England)","120","115","36070","33300"
"In post","2022","Declared disabled","Digital, Data and Technology","South West (England)","290","275","36410","35630"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Wales","135","130","39370","36840"
"In post","2022","Declared disabled","Digital, Data and Technology","West Midlands (England)","105","95","39840","36050"
