"Status","Year","Ethnicity","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Female","315","305","42650","38200"
"In post","2022","Asian","Analysis","Male","310","310","43110","39930"
"In post","2022","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Female","150","145","40770","37900"
"In post","2022","Asian","Commercial","Male","145","145","43880","40000"
"In post","2022","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Female","325","315","33600","28900"
"In post","2022","Asian","Communications","Male","390","385","31020","26820"
"In post","2022","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Female","725","645","30040","27570"
"In post","2022","Asian","Counter Fraud","Male","630","615","32110","31020"
"In post","2022","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Female","450","370","23540","21260"
"In post","2022","Asian","Debt","Male","315","290","23530","21260"
"In post","2022","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Female","550","540","41220","37290"
"In post","2022","Asian","Digital, Data & Technology","Male","850","845","42360","39000"
"In post","2022","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Female","565","535","37540","34620"
"In post","2022","Asian","Finance","Male","575","570","40200","36780"
"In post","2022","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Female","25","20","[c]","[c]"
"In post","2022","Asian","Grants Management","Male","15","15","[c]","[c]"
"In post","2022","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Female","475","455","37340","34260"
"In post","2022","Asian","Human Resources","Male","195","190","36040","32330"
"In post","2022","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Female","45","45","44360","43250"
"In post","2022","Asian","Internal Audit","Male","40","40","49660","49430"
"In post","2022","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Female","810","740","43390","48080"
"In post","2022","Asian","Legal","Male","370","365","44740","48080"
"In post","2022","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Female","10190","9170","31230","27570"
"In post","2022","Asian","No function","Male","7755","7510","31850","27570"
"In post","2022","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Female","615","580","41570","37930"
"In post","2022","Asian","Project Delivery","Male","640","630","42400","39920"
"In post","2022","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Female","220","205","35560","31890"
"In post","2022","Asian","Property","Male","245","240","36550","32280"
"In post","2022","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Female","120","115","35030","32260"
"In post","2022","Asian","Security","Male","200","195","32690","30320"
"In post","2022","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Female","3120","2845","32270","28990"
"In post","2022","Asian","Unknown","Male","2275","2205","32940","29030"
"In post","2022","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Female","120","120","39080","37930"
"In post","2022","Black","Analysis","Male","95","95","39530","37610"
"In post","2022","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Female","110","105","38680","36190"
"In post","2022","Black","Commercial","Male","60","60","42800","39950"
"In post","2022","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Female","165","160","33040","30430"
"In post","2022","Black","Communications","Male","80","80","32100","27040"
"In post","2022","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","Female","415","380","31100","31020"
"In post","2022","Black","Counter Fraud","Male","205","200","30880","31020"
"In post","2022","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","Female","140","125","25280","23600"
"In post","2022","Black","Debt","Male","70","70","25110","25330"
"In post","2022","Black","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","Female","270","265","39310","36330"
"In post","2022","Black","Digital, Data & Technology","Male","370","370","39740","36700"
"In post","2022","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","Female","270","265","38320","35840"
"In post","2022","Black","Finance","Male","170","170","40600","38610"
"In post","2022","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","Female","10","10","[c]","[c]"
"In post","2022","Black","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","Female","300","295","36810","34270"
"In post","2022","Black","Human Resources","Male","75","75","35680","31990"
"In post","2022","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","Female","20","20","[c]","[c]"
"In post","2022","Black","Internal Audit","Male","15","15","[c]","[c]"
"In post","2022","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Legal","Female","465","445","40810","34160"
"In post","2022","Black","Legal","Male","175","175","43020","37930"
