"Status","Year","Disability","Ethnicity","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","East Midlands (England)","Heterosexual / straight","175","155","27100","26950"
"In post","2022","Declared disabled","Asian","East Midlands (England)","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Midlands (England)","Undeclared","15","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Midlands (England)","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","East of England","Heterosexual / straight","110","100","31340","27570"
"In post","2022","Declared disabled","Asian","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East of England","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","East of England","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","London","Heterosexual / straight","1190","1110","37030","31880"
"In post","2022","Declared disabled","Asian","London","LGBO","55","50","39880","35200"
"In post","2022","Declared disabled","Asian","London","Undeclared","90","85","34580","31880"
"In post","2022","Declared disabled","Asian","London","Unknown","65","55","33740","31090"
"In post","2022","Declared disabled","Asian","North East (England)","Heterosexual / straight","40","35","29570","27570"
"In post","2022","Declared disabled","Asian","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","North West (England)","Heterosexual / straight","255","235","28410","27570"
"In post","2022","Declared disabled","Asian","North West (England)","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","North West (England)","Undeclared","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","North West (England)","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scotland","Heterosexual / straight","45","40","30410","27230"
"In post","2022","Declared disabled","Asian","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scotland","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","South East (England)","Heterosexual / straight","100","90","30280","28830"
"In post","2022","Declared disabled","Asian","South East (England)","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","South East (England)","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","South West (England)","Heterosexual / straight","50","45","33010","27570"
"In post","2022","Declared disabled","Asian","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","South West (England)","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","South West (England)","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Wales","Heterosexual / straight","35","35","32580","27570"
"In post","2022","Declared disabled","Asian","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","West Midlands (England)","Heterosexual / straight","400","375","29110","27570"
"In post","2022","Declared disabled","Asian","West Midlands (England)","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","West Midlands (England)","Undeclared","35","35","26700","27570"
"In post","2022","Declared disabled","Asian","West Midlands (England)","Unknown","30","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Yorkshire and The Humber","Heterosexual / straight","205","190","28950","27570"
"In post","2022","Declared disabled","Asian","Yorkshire and The Humber","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Yorkshire and The Humber","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Yorkshire and The Humber","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","East Midlands (England)","Heterosexual / straight","70","60","28020","27570"
"In post","2022","Declared disabled","Black","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","East of England","Heterosexual / straight","80","75","30030","29290"
"In post","2022","Declared disabled","Black","East of England","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","London","Heterosexual / straight","1130","1085","34510","31060"
"In post","2022","Declared disabled","Black","London","LGBO","55","55","39780","33550"
"In post","2022","Declared disabled","Black","London","Undeclared","90","85","34480","31060"
"In post","2022","Declared disabled","Black","London","Unknown","70","65","31930","31060"
"In post","2022","Declared disabled","Black","North East (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","North West (England)","Heterosexual / straight","60","55","31050","27570"
"In post","2022","Declared disabled","Black","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","North West (England)","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","Undeclared","[c]","[c]","[c]","[c]"
