"Status","Year","Age","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","London","AA","10","5","21990","22350"
"In post","2022","16-19","London","AO","60","60","24620","24750"
"In post","2022","16-19","London","EO","70","70","26630","26970"
"In post","2022","16-19","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Outside London","AA","220","205","19550","19450"
"In post","2022","16-19","Outside London","AO","600","580","21850","21260"
"In post","2022","16-19","Outside London","EO","235","230","22550","23880"
"In post","2022","16-19","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Outside London","Unknown","45","45","18760","18030"
"In post","2022","16-19","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","35","35","17940","16450"
"In post","2022","20-29","London","AA","240","230","22980","22460"
"In post","2022","20-29","London","AO","2115","2085","26540","25110"
"In post","2022","20-29","London","EO","5500","5440","29370","28670"
"In post","2022","20-29","London","G6","285","285","65780","65440"
"In post","2022","20-29","London","G7","3520","3510","54890","54070"
"In post","2022","20-29","London","HEO","8370","8340","34010","33900"
"In post","2022","20-29","London","SCS level","15","15","80110","73200"
"In post","2022","20-29","London","SEO","3475","3465","41530","41000"
"In post","2022","20-29","London","Unknown","435","435","28740","27060"
"In post","2022","20-29","Outside London","AA","2730","2645","20610","20890"
"In post","2022","20-29","Outside London","AO","21435","20865","22790","21300"
"In post","2022","20-29","Outside London","EO","17530","17345","26720","26820"
"In post","2022","20-29","Outside London","G6","75","75","64020","64000"
"In post","2022","20-29","Outside London","G7","1110","1105","51830","50430"
"In post","2022","20-29","Outside London","HEO","9900","9840","31630","31660"
"In post","2022","20-29","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Outside London","SEO","3280","3260","38950","38640"
"In post","2022","20-29","Outside London","Unknown","3430","3365","25380","24090"
"In post","2022","20-29","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Overseas","AO","10","10","21470","21170"
"In post","2022","20-29","Overseas","EO","25","25","27210","26540"
"In post","2022","20-29","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Overseas","G7","35","35","52140","51970"
"In post","2022","20-29","Overseas","HEO","210","210","33710","32930"
"In post","2022","20-29","Overseas","SEO","35","35","41160","39450"
"In post","2022","20-29","Overseas","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","AA","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","AO","25","25","21590","21260"
"In post","2022","20-29","Unknown","EO","100","100","27870","27570"
"In post","2022","20-29","Unknown","G7","15","15","53970","54700"
