"Status","Year","Age","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","London","AA/AO","70","65","24170","24080"
"In post","2022","16-19","London","EO","70","70","26630","26970"
"In post","2022","16-19","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Outside London","AA/AO","820","785","21230","21250"
"In post","2022","16-19","Outside London","EO","235","230","22550","23880"
"In post","2022","16-19","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Outside London","Unknown","45","45","18760","18030"
"In post","2022","16-19","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","35","35","17940","16450"
"In post","2022","20-29","London","AA/AO","2355","2315","26180","25110"
"In post","2022","20-29","London","EO","5500","5440","29370","28670"
"In post","2022","20-29","London","G6/G7","3805","3795","55700","54110"
"In post","2022","20-29","London","SCS level","15","15","80110","73200"
"In post","2022","20-29","London","SEO/HEO","11845","11805","36220","35050"
"In post","2022","20-29","London","Unknown","435","435","28740","27060"
"In post","2022","20-29","Outside London","AA/AO","24165","23510","22540","21260"
"In post","2022","20-29","Outside London","EO","17530","17345","26720","26820"
"In post","2022","20-29","Outside London","G6/G7","1185","1175","52600","51970"
"In post","2022","20-29","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Outside London","SEO/HEO","13180","13100","33450","33080"
"In post","2022","20-29","Outside London","Unknown","3430","3365","25380","24090"
"In post","2022","20-29","Overseas","AA/AO","15","15","21030","21170"
"In post","2022","20-29","Overseas","EO","25","25","27210","26540"
"In post","2022","20-29","Overseas","G6/G7","35","35","52730","52190"
"In post","2022","20-29","Overseas","SEO/HEO","245","245","34820","33230"
"In post","2022","20-29","Overseas","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","AA/AO","35","35","21380","21170"
"In post","2022","20-29","Unknown","EO","100","100","27870","27570"
"In post","2022","20-29","Unknown","G6/G7","15","15","53970","54700"
"In post","2022","20-29","Unknown","SEO/HEO","275","275","31080","29250"
"In post","2022","20-29","Unknown","Unknown","380","380","28260","28980"
"In post","2022","30-39","London","AA/AO","1785","1675","27360","25630"
"In post","2022","30-39","London","EO","3800","3655","30250","30750"
