"Status","Year","Function_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Female","Heterosexual / straight","2680","2510","43750","38720"
"In post","2022","Analysis","Female","LGBO","285","280","40140","37380"
"In post","2022","Analysis","Female","Undeclared","310","290","43670","39250"
"In post","2022","Analysis","Female","Unknown","695","650","38300","36580"
"In post","2022","Analysis","Male","Heterosexual / straight","2795","2750","45330","40050"
"In post","2022","Analysis","Male","LGBO","270","270","42180","37930"
"In post","2022","Analysis","Male","Undeclared","350","345","47060","42580"
"In post","2022","Analysis","Male","Unknown","1055","1035","42230","38070"
"In post","2022","Analysis","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Heterosexual / straight","2060","1965","40660","37400"
"In post","2022","Commercial","Female","LGBO","95","95","38610","34380"
"In post","2022","Commercial","Female","Undeclared","280","260","39670","38330"
"In post","2022","Commercial","Female","Unknown","975","945","55260","53360"
"In post","2022","Commercial","Male","Heterosexual / straight","1805","1780","45150","40180"
"In post","2022","Commercial","Male","LGBO","120","115","41080","38580"
"In post","2022","Commercial","Male","Undeclared","270","265","44800","40650"
"In post","2022","Commercial","Male","Unknown","1015","1005","62070","61520"
"In post","2022","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Heterosexual / straight","2910","2750","37410","33370"
"In post","2022","Communications","Female","LGBO","190","185","36050","33080"
"In post","2022","Communications","Female","Undeclared","345","325","39090","33370"
"In post","2022","Communications","Female","Unknown","1125","1075","34520","30020"
"In post","2022","Communications","Male","Heterosexual / straight","2230","2205","36020","33080"
"In post","2022","Communications","Male","LGBO","265","265","36440","33370"
"In post","2022","Communications","Male","Undeclared","280","275","37880","33320"
"In post","2022","Communications","Male","Unknown","1200","1185","32850","26820"
"In post","2022","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Female","Heterosexual / straight","5760","5170","31430","27570"
"In post","2022","Counter Fraud","Female","LGBO","300","285","32200","28920"
"In post","2022","Counter Fraud","Female","Undeclared","780","680","31030","27570"
"In post","2022","Counter Fraud","Female","Unknown","2155","1905","30350","27570"
"In post","2022","Counter Fraud","Male","Heterosexual / straight","4960","4770","34440","31990"
"In post","2022","Counter Fraud","Male","LGBO","310","305","32850","30750"
"In post","2022","Counter Fraud","Male","Undeclared","780","745","35600","33080"
"In post","2022","Counter Fraud","Male","Unknown","1980","1900","32680","31020"
"In post","2022","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Female","Heterosexual / straight","2570","2165","23880","21260"
"In post","2022","Debt","Female","LGBO","125","115","23700","21260"
"In post","2022","Debt","Female","Undeclared","310","255","23660","22080"
"In post","2022","Debt","Female","Unknown","1170","1000","23290","21260"
"In post","2022","Debt","Male","Heterosexual / straight","1440","1375","24040","21260"
"In post","2022","Debt","Male","LGBO","175","165","23570","21260"
"In post","2022","Debt","Male","Undeclared","185","170","23990","21260"
"In post","2022","Debt","Male","Unknown","845","810","23860","21250"
"In post","2022","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","Heterosexual / straight","5685","5395","40010","36770"
"In post","2022","Digital, Data & Technology","Female","LGBO","445","435","38820","35310"
"In post","2022","Digital, Data & Technology","Female","Undeclared","810","770","40320","37660"
"In post","2022","Digital, Data & Technology","Female","Unknown","1315","1250","40720","36860"
"In post","2022","Digital, Data & Technology","Male","Heterosexual / straight","9095","8950","42530","39650"
"In post","2022","Digital, Data & Technology","Male","LGBO","565","555","41740","38250"
"In post","2022","Digital, Data & Technology","Male","Undeclared","1515","1480","41370","38470"
"In post","2022","Digital, Data & Technology","Male","Unknown","2630","2595","41690","38000"
"In post","2022","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Female","Heterosexual / straight","4820","4475","38090","34260"
"In post","2022","Finance","Female","LGBO","190","185","37700","33370"
"In post","2022","Finance","Female","Undeclared","690","635","36920","33300"
"In post","2022","Finance","Female","Unknown","1170","1045","35050","31990"
"In post","2022","Finance","Male","Heterosexual / straight","3725","3650","42440","38540"
"In post","2022","Finance","Male","LGBO","225","225","41200","36660"
"In post","2022","Finance","Male","Undeclared","535","520","43180","40330"
"In post","2022","Finance","Male","Unknown","1020","995","38350","35310"
"In post","2022","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Female","Heterosexual / straight","615","530","25640","24920"
"In post","2022","Grants Management","Female","LGBO","40","40","25390","24920"
"In post","2022","Grants Management","Female","Undeclared","40","35","24080","21300"
"In post","2022","Grants Management","Female","Unknown","655","585","24130","21300"
