"Status","Year","Organisation","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Unknown","Female","70","60","31110","30040"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Unknown","Male","40","40","35150","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Female","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Male","40","40","45460","43710"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","Female","25","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Female","525","475","31140","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","Male","340","325","32860","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Female","1145","1065","27160","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Male","770","750","28530","26380"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Female","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Female","25","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Female","350","330","30950","27960"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Male","220","210","33850","29810"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Female","185","170","42150","37910"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Male","155","145","44130","41030"
"In post","2022","Attorney General's Office","Attorney General's Departments","Communications","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","Legal","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","Legal","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","Other","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","Policy","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Operational Delivery","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Other","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Other","Male","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Policy","Female","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Policy","Male","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Female","5300","5150","44730","37300"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Male","4565","4535","50100","42270"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","Female","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Communications","Female","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Female","15","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Male","45","45","32200","29990"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Finance","Female","10","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Human Resources","Female","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Operational Delivery","Female","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Other","Female","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Other","Male","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Project Delivery","Female","20","20","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Project Delivery","Male","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","Female","220","205","31530","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","Male","250","240","36610","32770"
"In post","2022","Charity Commission","Charity Commission","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Communications","Female","10","10","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Communications","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Digital, Data and Technology","Female","20","20","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Digital, Data and Technology","Male","35","35","33950","29160"
"In post","2022","Charity Commission","Charity Commission","Finance","Female","5","5","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Finance","Male","5","5","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Human Resources","Female","15","15","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Knowledge and Information Management","Female","5","5","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Legal","Female","25","20","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Operational Delivery","Female","185","175","31050","29160"
"In post","2022","Charity Commission","Charity Commission","Operational Delivery","Male","105","100","31330","29160"
"In post","2022","Charity Commission","Charity Commission","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Policy","Female","5","5","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Policy","Male","5","5","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Project Delivery","Female","10","10","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Project Delivery","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Communications","Female","15","15","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Communications","Male","10","10","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Counter Fraud","Female","105","90","24580","22740"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Counter Fraud","Male","65","65","25190","24500"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Female","85","80","38400","36540"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Male","165","165","40400","38000"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Finance","Female","45","35","30010","26100"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Finance","Male","25","25","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Human Resources","Female","45","40","36740","33000"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Human Resources","Male","15","15","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Female","5","5","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Legal","Female","5","5","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","Female","300","260","24530","22740"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","Male","180","175","25480","22740"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Other","Female","15","15","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Other","Male","10","10","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Policy","Female","15","15","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Policy","Male","15","15","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Project Delivery","Female","10","10","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Project Delivery","Male","10","10","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Property","Female","5","5","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Property","Male","10","10","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Statistics","Female","5","5","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Communications","Female","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Communications","Male","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","Female","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","Male","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","Female","25","25","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","Male","45","45","58820","58030"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Economics","Female","45","40","62970","57100"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Economics","Male","55","55","65630","61130"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Human Resources","Female","30","30","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Human Resources","Male","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","Female","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","Male","25","25","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Legal","Female","80","75","64370","59870"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Legal","Male","70","65","73910","72430"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Policy","Female","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Policy","Male","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","Female","200","190","59100","55860"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","Male","175","175","64850","59790"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Legal","Male","[c]","[c]","[c]","[c]"
