"Status","Year","Disability","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Heterosexual / straight","485","455","42380","38340"
"In post","2022","Declared disabled","Analysis","LGBO","115","110","39530","37930"
"In post","2022","Declared disabled","Analysis","Undeclared","65","60","42070","35840"
"In post","2022","Declared disabled","Analysis","Unknown","50","50","37710","36060"
"In post","2022","Declared disabled","Commercial","Heterosexual / straight","345","335","39970","37850"
"In post","2022","Declared disabled","Commercial","LGBO","30","30","38150","36780"
"In post","2022","Declared disabled","Commercial","Undeclared","50","50","38830","38190"
"In post","2022","Declared disabled","Commercial","Unknown","30","25","[c]","[c]"
"In post","2022","Declared disabled","Communications","Heterosexual / straight","440","420","34760","33080"
"In post","2022","Declared disabled","Communications","LGBO","80","80","35610","33370"
"In post","2022","Declared disabled","Communications","Undeclared","60","55","34730","31700"
"In post","2022","Declared disabled","Communications","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Heterosexual / straight","1410","1275","31240","27570"
"In post","2022","Declared disabled","Counter Fraud","LGBO","150","140","31860","28840"
"In post","2022","Declared disabled","Counter Fraud","Undeclared","230","210","30200","27570"
"In post","2022","Declared disabled","Counter Fraud","Unknown","190","165","30200","28110"
"In post","2022","Declared disabled","Debt","Heterosexual / straight","590","500","23490","21260"
"In post","2022","Declared disabled","Debt","LGBO","65","60","23380","21260"
"In post","2022","Declared disabled","Debt","Undeclared","80","70","23280","21260"
"In post","2022","Declared disabled","Debt","Unknown","75","65","22970","22080"
"In post","2022","Declared disabled","Digital, Data & Technology","Heterosexual / straight","1450","1390","39130","35110"
"In post","2022","Declared disabled","Digital, Data & Technology","LGBO","230","225","38600","36050"
"In post","2022","Declared disabled","Digital, Data & Technology","Undeclared","235","225","39280","35730"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","90","85","39480","36840"
"In post","2022","Declared disabled","Finance","Heterosexual / straight","885","820","38210","34220"
"In post","2022","Declared disabled","Finance","LGBO","70","65","37300","31990"
"In post","2022","Declared disabled","Finance","Undeclared","110","100","36500","33000"
"In post","2022","Declared disabled","Finance","Unknown","75","70","32340","28670"
"In post","2022","Declared disabled","Grants Management","Heterosexual / straight","105","95","26230","24920"
"In post","2022","Declared disabled","Grants Management","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","Unknown","55","45","24210","21300"
"In post","2022","Declared disabled","Human Resources","Heterosexual / straight","1245","1175","38560","34160"
"In post","2022","Declared disabled","Human Resources","LGBO","185","185","38210","33370"
"In post","2022","Declared disabled","Human Resources","Undeclared","120","110","34910","31740"
"In post","2022","Declared disabled","Human Resources","Unknown","50","45","34730","30800"
"In post","2022","Declared disabled","Internal Audit","Heterosexual / straight","70","65","44630","39980"
"In post","2022","Declared disabled","Internal Audit","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Heterosexual / straight","905","835","44040","41750"
"In post","2022","Declared disabled","Legal","LGBO","110","105","45280","49650"
"In post","2022","Declared disabled","Legal","Undeclared","85","80","48890","52530"
"In post","2022","Declared disabled","Legal","Unknown","115","100","42040","35700"
"In post","2022","Declared disabled","No function","Heterosexual / straight","24445","22115","30080","27570"
"In post","2022","Declared disabled","No function","LGBO","2935","2820","30880","27570"
"In post","2022","Declared disabled","No function","Undeclared","3305","2940","29390","27570"
"In post","2022","Declared disabled","No function","Unknown","2275","1960","28600","27570"
"In post","2022","Declared disabled","Project Delivery","Heterosexual / straight","1985","1890","39740","37300"
"In post","2022","Declared disabled","Project Delivery","LGBO","210","205","40570","35990"
"In post","2022","Declared disabled","Project Delivery","Undeclared","275","255","39760","39100"
"In post","2022","Declared disabled","Project Delivery","Unknown","150","140","38610","35860"
"In post","2022","Declared disabled","Property","Heterosexual / straight","600","575","36710","33300"
"In post","2022","Declared disabled","Property","LGBO","50","50","38350","35190"
"In post","2022","Declared disabled","Property","Undeclared","80","75","37080","33300"
"In post","2022","Declared disabled","Property","Unknown","50","45","34270","31590"
"In post","2022","Declared disabled","Security","Heterosexual / straight","670","650","32710","30730"
"In post","2022","Declared disabled","Security","LGBO","50","50","35890","32690"
"In post","2022","Declared disabled","Security","Undeclared","95","90","35040","33630"
"In post","2022","Declared disabled","Security","Unknown","50","45","32320","29570"
"In post","2022","Declared disabled","Unknown","Heterosexual / straight","5020","4715","33370","29080"
"In post","2022","Declared disabled","Unknown","LGBO","575","555","35550","30830"
"In post","2022","Declared disabled","Unknown","Undeclared","740","690","33720","29080"
"In post","2022","Declared disabled","Unknown","Unknown","255","240","34690","30040"
"In post","2022","Declared non-disabled","Analysis","Heterosexual / straight","4200","4035","45240","40270"
"In post","2022","Declared non-disabled","Analysis","LGBO","360","355","42170","37930"
"In post","2022","Declared non-disabled","Analysis","Undeclared","315","300","44300","40180"
