"Status","Year","Disability","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","Heterosexual / straight","445","425","39090","37510"
"In post","2022","Declared disabled","Commercial","LGBO","45","45","33970","31060"
"In post","2022","Declared disabled","Commercial","Undeclared","60","60","38210","37400"
"In post","2022","Declared disabled","Commercial","Unknown","40","35","34020","31990"
"In post","2022","Declared disabled","Communications","Heterosexual / straight","215","210","39360","36740"
"In post","2022","Declared disabled","Communications","LGBO","45","45","36810","35160"
"In post","2022","Declared disabled","Communications","Undeclared","35","30","38630","33040"
"In post","2022","Declared disabled","Communications","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Heterosexual / straight","715","635","28460","27570"
"In post","2022","Declared disabled","Counter Fraud","LGBO","65","60","28560","27570"
"In post","2022","Declared disabled","Counter Fraud","Undeclared","120","105","27190","27570"
"In post","2022","Declared disabled","Counter Fraud","Unknown","90","75","28830","27570"
"In post","2022","Declared disabled","Digital, Data and Technology","Heterosexual / straight","1265","1215","39930","36160"
"In post","2022","Declared disabled","Digital, Data and Technology","LGBO","190","180","39960","36510"
"In post","2022","Declared disabled","Digital, Data and Technology","Undeclared","195","190","40990","37880"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","90","85","40060","37650"
"In post","2022","Declared disabled","Economics","Heterosexual / straight","85","85","47780","44200"
"In post","2022","Declared disabled","Economics","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Economics","Undeclared","10","5","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Heterosexual / straight","900","855","38770","34620"
"In post","2022","Declared disabled","Finance","LGBO","65","65","37500","32790"
"In post","2022","Declared disabled","Finance","Undeclared","115","110","36510","33150"
"In post","2022","Declared disabled","Finance","Unknown","35","35","37970","31990"
"In post","2022","Declared disabled","Geography","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Heterosexual / straight","995","945","40340","36490"
"In post","2022","Declared disabled","Human Resources","LGBO","145","140","38900","34110"
"In post","2022","Declared disabled","Human Resources","Undeclared","95","90","36740","33550"
"In post","2022","Declared disabled","Human Resources","Unknown","30","25","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","Heterosexual / straight","60","60","63820","64500"
"In post","2022","Declared disabled","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","Heterosexual / straight","235","220","33230","30820"
"In post","2022","Declared disabled","Intelligence Analysis","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","Undeclared","40","35","35210","33330"
"In post","2022","Declared disabled","Intelligence Analysis","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Heterosexual / straight","65","65","45040","39980"
"In post","2022","Declared disabled","Internal Audit","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","Heterosexual / straight","80","80","48030","42440"
"In post","2022","Declared disabled","International Trade","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","International Trade","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","International Trade","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","Heterosexual / straight","225","215","35440","32760"
"In post","2022","Declared disabled","Knowledge and Information Management","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","Undeclared","45","45","34730","31860"
"In post","2022","Declared disabled","Knowledge and Information Management","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Legal","Heterosexual / straight","765","705","49130","50230"
"In post","2022","Declared disabled","Legal","LGBO","90","85","49900","51830"
"In post","2022","Declared disabled","Legal","Undeclared","100","95","50180","50150"
"In post","2022","Declared disabled","Legal","Unknown","90","80","48370","53050"
"In post","2022","Declared disabled","Medicine","Heterosexual / straight","100","90","55400","45840"
"In post","2022","Declared disabled","Medicine","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Medicine","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Medicine","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Operational Delivery","Heterosexual / straight","23435","21010","28030","27570"
"In post","2022","Declared disabled","Operational Delivery","LGBO","2460","2350","28200","27570"
"In post","2022","Declared disabled","Operational Delivery","Undeclared","3225","2845","27490","27130"
"In post","2022","Declared disabled","Operational Delivery","Unknown","2210","1885","26710","26400"
"In post","2022","Declared disabled","Operational Research","Heterosexual / straight","60","55","43900","42520"
"In post","2022","Declared disabled","Operational Research","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","Undeclared","10","5","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Other","Heterosexual / straight","2545","2355","28480","26930"
"In post","2022","Declared disabled","Other","LGBO","250","245","27370","27570"
"In post","2022","Declared disabled","Other","Undeclared","345","315","28090","25970"
"In post","2022","Declared disabled","Other","Unknown","180","165","29600","27570"
"In post","2022","Declared disabled","Planning","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Planning","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","Unknown","[c]","[c]","[c]","[c]"
